name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Clive Minton,M,Yes,AM,VIC,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Clive_Minton,6572241,878275,2006-08-20,2001-01-26,2006,2001,Member of the Order of Australia,Australia Day 2001 Honours List,G,"For service to ornithology, particularly in the study of migratory wading birds in Australia.",Australian ornithologist,1,2001-01-26,2001,2006,2032,5,2006-W33,2001-W04,290,on or after honours
Clyde Croft,M,Yes,AM,VIC,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Clyde_Croft,40709090,2003112,2013-10-05,2019-01-26,2013,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to the law, and to the judiciary, particularly through commercial arbitration.",Australian judge,1,2019-01-26,2019,2013,-1939,-6,2013-W40,2019-W04,-277,before Honours
Cody Meakin,M,Yes,OAM,QLD,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Cody_Meakin,36348258,1149334,2012-07-07,2014-01-26,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,"Australian male wheelchair rugby Paralympian,",1,2014-01-26,2014,2012,-568,-2,2012-W27,2014-W04,-82,before Honours
Colin Dunsford,M,Yes,AM,SA,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Colin_Dunsford,55382887,1147797,2017-09-29,2013-06-10,2017,2013,Member of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For significant service to the community of South Australia, and to the accounting profession.",NA,1,2013-06-10,2013,2017,1572,4,2017-W39,2013-W24,224,on or after honours
Colin Harrison sailor,M,Yes,OAM,WA,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Colin_Harrison_(sailor),33309705,1155009,2011-10-05,2017-01-26,2011,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian Paralympic sailor,1,2017-01-26,2017,2011,-1940,-6,2011-W40,2017-W04,-278,before Honours
Colin L Masters,M,Yes,AO,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Colin_L._Masters,58130411,1154637,2018-08-13,2017-01-26,2018,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,For distinguished service to medical research through international and national contributions to understanding Alzheimer's and other neurodegenerative diseases.,Australian neuropathologist,1,2017-01-26,2017,2018,564,1,2018-W33,2017-W04,80,on or after honours
Colin Laverty,M,Yes,OAM,NSW,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Colin_Laverty,15457620,1137691,2008-01-28,2008-01-26,2008,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to medicine in the fields of gynaecological cytology and histopathology, particularly through the advancement of cervical screening services in Australia and through developments in establishing the role of the human papillomavirus in the genesis of cervical cancer; and to art, particularly Indigenous art both in Australia and overseas.",Australian medical practitioner,1,2008-01-26,2008,2008,2,0,2008-W05,2008-W04,0,on or after honours
Colin Love,M,Yes,AM,NSW,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Colin_Love,10561697,1133797,2007-04-10,2007-01-26,2007,2007,Member of the Order of Australia,Australia Day 2007 Honours List,G,"For service to sport as an administrator of Rugby League football at national and international levels, to sports law, and to the staging of sporting events.",Australian rugby league administrator,1,2007-01-26,2007,2007,74,0,2007-W15,2007-W04,10,on or after honours
Colin McDonald Australian cricketer,M,Yes,AM,VIC,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Colin_McDonald_(Australian_cricketer),2574181,1148931,2005-08-30,2014-01-26,2005,2014,Member of the Order of Australia,Australia Day 2014 Honours List,G,"For significant service to tennis as an administrator, to cricket as a player, and to the community.",Australian cricketer,1,2014-01-26,2014,2005,-3071,-9,2005-W35,2014-W04,-439,before Honours
Colin Neave,M,Yes,AM,VIC,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/Colin_Neave,39714978,1136005,2013-06-19,2005-06-13,2013,2005,Member of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to public administration and to the banking and finance industry, particularly through dispute resolution.",Australian public servant,1,2005-06-13,2005,2013,2928,8,2013-W25,2005-W24,418,on or after honours
Colin Raston,M,Yes,AO,SA,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Colin_Raston,50807874,1153699,2016-06-14,2016-06-13,2016,2016,Officer of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For distinguished service to science through seminal contributions to the field of chemistry as a researcher and academic, and to professional associations.",Professor of Chemistry,1,2016-06-13,2016,2016,1,0,2016-W24,2016-W24,0,on or after honours
Colleen McCullough,F,Yes,AO,Other,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Colleen_McCullough,381507,1132828,2003-11-28,2006-06-12,2003,2006,Officer of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to the arts as an author and to the community through roles supporting national and international educational programs, medico-scientific disciplines and charitable organisations and causes.",Australian author,1,2006-06-12,2006,2003,-927,-3,2003-W48,2006-W24,-133,before Honours
Collette Dinnigan,F,Yes,AO,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Collette_Dinnigan,17987383,1769678,2008-06-17,2017-06-12,2008,2017,Officer of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For distinguished service to the clothing manufacturing industry as an internationally renowned fashion designer and entrepreneur, as a supporter and promoter of Australian wool, and to women as a role model.",Australian fashion designer,1,2017-06-12,2017,2008,-3282,-9,2008-W25,2017-W24,-469,before Honours
Con Sciacca,M,Yes,AO,QLD,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Con_Sciacca,595666,1131320,2004-04-14,2006-01-26,2004,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to ex-service personnel, particularly through the commemorative program of events, Australia Remembers 1945-1995, to the community through support for cancer research institutions, and to the Australian Parliament.",Australian politician,1,2006-01-26,2006,2004,-652,-2,2004-W16,2006-W04,-94,before Honours
Conall OConnell,M,Yes,AM,ACT,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Conall_O%27Connell,42160261,1148960,2014-03-10,2014-01-26,2014,2014,Member of the Order of Australia,Australia Day 2014 Honours List,G,"For significant service to public administration and governance, and to Australia's agricultural, forestry and fisheries sectors.",Australian public servant,1,2014-01-26,2014,2014,43,0,2014-W11,2014-W04,6,on or after honours
Connie Johnson fundraiser,F,Yes,OAM,VIC,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/Connie_Johnson_(fundraiser),55197318,2000834,2017-09-10,2018-01-26,2017,2018,Medal of the Order of Australia,Australia Day 2018 Honours List,G,For service to people with breast cancer.,Australian cancer fundraiser,1,2018-01-26,2018,2017,-138,-1,2017-W36,2018-W04,-20,before Honours
Cornelia Frances,F,Yes,OAM,NSW,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Cornelia_Frances,1410398,2002409,2005-01-19,2019-01-26,2005,2019,Medal of the Order of Australia,Australia Day 2019 Honours List,G,For service to the performing arts as an entertainer.,English-Australian actress (1941-2018),1,2019-01-26,2019,2005,-5120,-14,2005-W03,2019-W04,-732,before Honours
Cornelius Keogh,M,Yes,OAM,NSW,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Cornelius_Keogh,19087841,1056302,2008-08-29,2004-01-26,2008,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the community, particularly through rehabilitation support for people with a mental illness as co-founder of GROW.",Australian Catholic priest,1,2004-01-26,2004,2008,1677,4,2008-W35,2004-W05,239,on or after honours
Craig Challen,M,Yes,OAM,Other,2018-07-24,2018,Post,https://en.wikipedia.org/wiki/Craig_Challen,31281527,2002270,2011-03-24,2018-07-24,2011,2018,Medal of the Order of Australia,Thailand Cave Rescue,G,For service to the international community through specialist response roles during the Tham Luang cave rescue in Thailand in 2018.,Australian veterinary surgeon and technical diver,1,2018-07-24,2018,2011,-2679,-7,2011-W12,2018-W30,-383,before Honours
Craig Knowles,M,Yes,AM,NSW,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Craig_Knowles,2806146,1150862,2005-10-01,2015-01-26,2005,2015,Member of the Order of Australia,Australia Day 2015 Honours List,G,"For significant service to local government, to the Parliament of New South Wales, and to the community through a range of health initiatives.",New South Wales politician,1,2015-01-26,2015,2005,-3404,-10,2005-W39,2015-W05,-487,before Honours
Craig Lowndes,M,Yes,OAM,QLD,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Craig_Lowndes,1651314,1146144,2005-03-27,2012-06-11,2005,2012,Medal of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For service to motor racing and to the community, particularly through road safety education programs and charitable organisations.",Australian racing driver,1,2012-06-11,2012,2005,-2633,-7,2005-W12,2012-W24,-377,before Honours
Curtis McGrath,M,Yes,OAM,QLD,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Curtis_McGrath,43625751,1155101,2014-08-22,2017-01-26,2014,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian paracanoeist,1,2017-01-26,2017,2014,-888,-3,2014-W34,2017-W04,-127,before Honours
Dai Bachtiar,M,Yes,AO,Other,2003-10-11,2003,Post,https://en.wikipedia.org/wiki/Da%27i_Bachtiar,1336932,1055882,2004-12-29,2003-10-11,2004,2003,Officer of the Order of Australia,NA,HG,"For service to Australia, particularly the establishment of the joint investigation task force following the bombings which occurred in Bali on 12 October 2002.",Indonesian police chief,1,2003-10-11,2003,2004,445,1,2004-W53,2003-W41,63,on or after honours
Dale BeggSmith,M,Yes,OAM,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Dale_Begg-Smith,3955086,1154863,2006-02-04,2017-01-26,2006,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a Winter Olympic Games Gold Medallist.,freestyle skier,1,2017-01-26,2017,2006,-4009,-11,2006-W05,2017-W04,-573,before Honours
Daniel Fitzgibbon,M,Yes,OAM,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Daniel_Fitzgibbon,33309811,1149178,2011-10-05,2014-01-26,2011,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian Paralympic sailor,1,2014-01-26,2014,2011,-844,-3,2011-W40,2014-W04,-121,before Honours
Daniel Kowalski,M,Yes,OAM,QLD,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Daniel_Kowalski,3001017,886879,2005-10-26,2001-01-26,2005,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian swimmer,1,2001-01-26,2001,2005,1734,4,2005-W43,2001-W04,247,on or after honours
Daniel McDaniel,M,Yes,AM,ACT,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Daniel_McDaniel,40772977,1150946,2013-10-12,2015-01-26,2013,2015,Member of the Order of Australia,Australia Day 2015 Honours List,M,"For exceptional service as Commander Special Operations Command, Colonel Plans Headquarters Forces Command, and Deputy Commander International Security Assistance Force Special Operations Forces in Afghanistan.",Australian military officer,1,2015-01-26,2015,2013,-471,-2,2013-W41,2015-W05,-68,before Honours
Daniel Polson,M,Yes,OAM,SA,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Daniel_Polson,33276342,886936,2011-10-02,2001-01-26,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic cyclist,1,2001-01-26,2001,2011,3901,10,2011-W39,2001-W04,557,on or after honours
Danielle Woodhouse,F,Yes,OAM,WA,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Danielle_Woodhouse,3261615,886906,2005-11-28,2001-01-26,2005,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian water polo player,1,2001-01-26,2001,2005,1767,4,2005-W48,2001-W04,252,on or after honours
Danielle Woodward,F,Yes,OAM,VIC,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Danielle_Woodward,20628639,1132673,2008-12-11,2002-01-26,2008,2002,Medal of the Order of Australia,Australia Day 2002 Honours List,G,"For service to sport, particularly Whitewater Slalom Canoeing, and to Olympic sport.",Australian canoeist,1,2002-01-26,2002,2008,2511,6,2008-W50,2002-W04,358,on or after honours
Daphne Pirie,F,Yes,AO,QLD,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Daphne_Pirie,54136007,1145771,2017-05-25,2012-06-11,2017,2012,Officer of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For distinguished service to sports administration and to hockey, particularly through roles with the Queensland Academy of Sport, as an advocate for the participation of women and girls in sport, and to the community of the Gold Coast region.","Australian athlete, hockey player, golfer and  sports administrator",1,2012-06-11,2012,2017,1809,5,2017-W21,2012-W24,258,on or after honours
Darby McCarthy,M,Yes,OAM,QLD,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Darby_McCarthy,5425204,1154083,2006-06-05,2016-06-13,2006,2016,Medal of the Order of Australia,The Queen's Birthday 2016 Honours List,G,For service to the horse racing industry.,Australian jockey,1,2016-06-13,2016,2006,-3661,-10,2006-W23,2016-W24,-523,before Honours
Darren Harry,M,Yes,OAM,WA,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Darren_Harry,33237195,886938,2011-09-28,2001-01-26,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic tandem cycling pilot,1,2001-01-26,2001,2011,3897,10,2011-W39,2001-W04,556,on or after honours
Darryl Brohman,M,Yes,OAM,NSW,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Darryl_Brohman,2714509,2006051,2005-09-20,2020-01-26,2005,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,For service to rugby league.,Australian rugby league footballer,1,2020-01-26,2020,2005,-5241,-15,2005-W38,2020-W04,-749,before Honours
Daryl Manzie,M,Yes,AM,NT,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Daryl_Manzie,29416899,2001586,2010-10-31,2018-06-11,2010,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the people and Parliament of the Northern Territory, and to the community through leadership in advisory roles.",Australian politician,1,2018-06-11,2018,2010,-2780,-8,2010-W43,2018-W24,-398,before Honours
Daryl Melham,M,Yes,AM,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Daryl_Melham,583502,1769822,2004-04-08,2017-06-12,2004,2017,Member of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For significant service to the Parliament of Australia, and to the community of south west Sydney through a range of organisations.",Australian politician,1,2017-06-12,2017,2004,-4813,-13,2004-W15,2017-W24,-688,before Honours
Dave Nilsson,M,Yes,AM,QLD,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Dave_Nilsson,2271683,2004864,2005-07-20,2019-06-10,2005,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For significant service to baseball as a player, coach and mentor.",Australian baseball player,1,2019-06-10,2019,2005,-5073,-14,2005-W29,2019-W24,-725,before Honours
David Ames researcher,M,Yes,AO,VIC,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/David_Ames_(researcher),20979534,2000309,2009-01-07,2018-01-26,2009,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,G,"For distinguished service to psychiatry, particularly in the area of dementia and the mental health of older persons, as an academic, author and practitioner, and as an adviser to professional bodies.",Australian professor,1,2018-01-26,2018,2009,-3306,-9,2009-W02,2018-W04,-473,before Honours
David Andrew Sinclair,M,Yes,AO,Other,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/David_Andrew_Sinclair,7804853,2000557,2006-11-07,2018-01-26,2006,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,G,"For distinguished service to medical research into the biology of ageing and lifespan extension, as a geneticist and academic, to biosecurity initiatives, and as an advocate for the study of science.",Australian biologist and geneticist,1,2018-01-26,2018,2006,-4098,-12,2006-W45,2018-W04,-586,before Honours
David Ashton botanist,M,Yes,OAM,VIC,2001-06-11,2001,Post,https://en.wikipedia.org/wiki/David_Ashton_(botanist),3230759,886178,2005-11-24,2001-06-11,2005,2001,Medal of the Order of Australia,The Queen's Birthday 2001 Honours List,G,"For service to the science of plant ecology, particularly in the areas of forest regeneration, conservation and management.",Australian botanist (1927-2005),1,2001-06-11,2001,2005,1627,4,2005-W47,2001-W24,232,on or after honours
David Atkins,M,Yes,OAM,NSW,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/David_Atkins,2219065,1043827,2005-07-12,2003-06-09,2005,2003,Medal of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to the performing arts as a producer, director and choreographer, and as artistic director and producer of the Opening and Closing Ceremonies for the Sydney 2000 Olympic Games.","Australian director, producer and choreographer",1,2003-06-09,2003,2005,764,2,2005-W28,2003-W24,109,on or after honours
David Black historian,M,Yes,AM,WA,2010-01-26,2010,Post,https://en.wikipedia.org/wiki/David_Black_(historian),2572550,1141724,2005-08-30,2010-01-26,2005,2010,Member of the Order of Australia,Australia Day 2010 Honours List,G,"For service to education and to the social sciences, particularly through the promotion and preservation of the political and parliamentary history of Western Australia.",Australian historian,1,2010-01-26,2010,2005,-1610,-5,2005-W35,2010-W04,-230,before Honours
David Borthwick public servant,M,Yes,AO,ACT,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/David_Borthwick_(public_servant),41681184,1140775,2014-01-19,2009-06-08,2014,2009,Officer of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to the development of environmental policy, particularly in relation to climate change, water allocation, emissions trading and heritage issues.",Australian public servant,1,2009-06-08,2009,2014,1686,5,2014-W03,2009-W24,240,on or after honours
David Boyd artist,M,Yes,OAM,NSW,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/David_Boyd_(artist),1890012,1138771,2005-05-15,2008-06-09,2005,2008,Medal of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to art as an innovator of design and techniques in pottery and ceramic sculpture, and as a painter.",Australian artist (1924-2011),1,2008-06-09,2008,2005,-1121,-3,2005-W19,2008-W24,-161,before Honours
David Bussau,M,Yes,AM,NSW,2001-06-11,2001,Post,https://en.wikipedia.org/wiki/David_Bussau,26204404,882032,2010-02-15,2001-06-11,2010,2001,Member of the Order of Australia,The Queen's Birthday 2001 Honours List,G,"For service to international development assistance, particularly as founder of Opportunity International, Australia.",Australian businessman,1,2001-06-11,2001,2010,3171,9,2010-W07,2001-W24,453,on or after honours
David Campbell singer,M,Yes,OAM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/David_Campbell_(singer),2921827,2003936,2005-10-17,2019-06-10,2005,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,For service to entertainment and the arts.,Australian television presenter,1,2019-06-10,2019,2005,-4984,-14,2005-W42,2019-W24,-712,before Honours
David Campese,M,Yes,AM,NSW,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/David_Campese,1586411,1132247,2005-03-10,2002-01-26,2005,2002,Member of the Order of Australia,Australia Day 2002 Honours List,G,"For service to Rugby Union football as a player and promoter of the sport, and to the community.",Australian rugby union player,1,2002-01-26,2002,2005,1139,3,2005-W10,2002-W04,162,on or after honours
David Cappo,M,Yes,AO,SA,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/David_Cappo,7613369,1133688,2006-10-25,2007-01-26,2006,2007,Officer of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the community of South Australia, particularly as Chair of the Social Inclusion Board and through involvement with social justice and health organisations, and to the Catholic Church in Australia.",Officer of the Order of Australia,1,2007-01-26,2007,2006,-93,-1,2006-W43,2007-W04,-14,before Honours
David Celermajer,M,Yes,AO,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/David_Celermajer,48461508,1148827,2015-11-05,2014-01-26,2015,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,G,"For distinguished service to medicine in the field of cardiology, as a clinician and researcher, to improved medical diagnostic methods, and to the promotion of heart health, particularly in children and young adults.",Australian cardiologist,1,2014-01-26,2014,2015,648,1,2015-W45,2014-W04,92,on or after honours
David Connolly politician,M,Yes,AM,Other,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/David_Connolly_(politician),17315173,1040477,2008-05-08,2002-06-10,2008,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the Parliament of Australia, to the development of superannuation policy reform, to international relations, and to the community.",Australian politician,1,2002-06-10,2002,2008,2159,6,2008-W19,2002-W24,308,on or after honours
David Cooper immunologist,M,Yes,AO,NSW,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/David_Cooper_(immunologist),50796390,1041309,2016-06-13,2003-01-26,2016,2003,Officer of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to medicine as a clinician, researcher and leading contributor in the field of HIV/AIDS research, and to the development of new treatment approaches.",Australian immunologist,1,2003-01-26,2003,2016,4887,13,2016-W24,2003-W04,698,on or after honours
David Cory politician,M,Yes,AM,QLD,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/David_Cory_(politician),50309999,1055991,2016-04-25,2004-01-26,2016,2004,Member of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the environment, particularly in the areas of rural lands protection in Queensland, and through animal, weed and pest management.",Australian politician,1,2004-01-26,2004,2016,4473,12,2016-W17,2004-W05,639,on or after honours
David Crawford businessman,M,Yes,AO,VIC,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/David_Crawford_(businessman),13428544,1140779,2007-09-25,2009-06-08,2007,2009,Officer of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to business as a director of public companies, to sport, particularly through the review and restructure of national sporting bodies, and to the community through contributions to arts and educational organisations.",Australian businessman,1,2009-06-08,2009,2007,-622,-2,2007-W39,2009-W24,-89,before Honours
David Crawshay,M,Yes,OAM,VIC,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/David_Crawshay,18889857,1139876,2008-08-16,2009-01-26,2008,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,Australian rower,1,2009-01-26,2009,2008,-163,-1,2008-W33,2009-W05,-24,before Honours
David Evans Victorian politician,M,Yes,AM,VIC,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/David_Evans_(Victorian_politician),43233346,1152747,2014-07-07,2016-01-26,2014,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to the Parliament and community of Victoria, to local government, and to aged care, education, and land conservation groups.","Australian politician, born 1934",1,2016-01-26,2016,2014,-568,-2,2014-W28,2016-W04,-82,before Honours
David Gonski,M,Yes,AC,NSW,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/David_Gonski,3779149,1134643,2006-01-20,2007-06-11,2006,2007,Companion of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the arts through charitable support and the development of policy initiatives, to business and commerce as a company director, to education, and to the community through a range of philanthropic endeavours.",Australian businessman,1,2007-06-11,2007,2006,-507,-1,2006-W03,2007-W24,-73,before Honours
David Goodall botanist,M,Yes,AM,WA,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/David_Goodall_(botanist),25504547,1152768,2009-12-21,2016-01-26,2009,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to science as an academic, researcher and author in the area of plant ecology and natural resources management.",English-born Australian botanist and ecologist (1914-2018),1,2016-01-26,2016,2009,-2227,-7,2009-W52,2016-W04,-319,before Honours
David Graham golfer,M,Yes,OAM,VIC,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/David_Graham_(golfer),3281653,1147003,2005-11-30,2013-01-26,2005,2013,Medal of the Order of Australia,Australia Day 2013 Honours List,G,For service to the community through a range of organisations.,former professional golfer from Australia,1,2013-01-26,2013,2005,-2614,-8,2005-W48,2013-W04,-374,before Honours
David Hall tennis,M,Yes,OAM,NSW,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/David_Hall_(tennis),32458242,887194,2011-07-19,2001-01-26,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian wheelchair tennis player,1,2001-01-26,2001,2011,3826,10,2011-W29,2001-W04,546,on or after honours
David Hamer,M,Yes,AM,VIC,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/David_Hamer,18029963,1040492,2008-06-20,2002-06-10,2008,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the Parliament of Australia, to the recording of Australian military and political history as a researcher and writer, and to the community through arts organisations.",Australian politician,1,2002-06-10,2002,2008,2202,6,2008-W25,2002-W24,314,on or after honours
David Handelsman,M,Yes,AO,NSW,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/David_Handelsman,56610897,2000670,2018-02-17,2018-01-26,2018,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,G,"For distinguished service to medicine, particularly to reproductive endocrinology and andrology, as a clinician, author and researcher, to the science of doping in sport, and to medical education.",Australian endocrinologist,1,2018-01-26,2018,2018,22,0,2018-W07,2018-W04,3,on or after honours
David Hawker,M,Yes,AO,VIC,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/David_Hawker,566166,1145757,2004-03-31,2012-06-11,2004,2012,Officer of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For distinguished service to the Parliament of Australia, to public administration and monetary policy reform, and to the community through local government, health and sporting organisations.",Australian politician,1,2012-06-11,2012,2004,-2994,-8,2004-W14,2012-W24,-428,before Honours
David Henry Solomon,M,Yes,AC,VIC,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/David_Henry_Solomon,50771553,1153656,2016-06-10,2016-06-13,2016,2016,Companion of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For eminent service to science as an academic, researcher and author in the field of polymer chemistry and plastics, to the development and commercialisation of processes and materials, and to professional scientific institutions.",chemist,1,2016-06-13,2016,2016,-3,0,2016-W23,2016-W24,-1,before Honours
David Horner,M,Yes,AM,ACT,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/David_Horner,9156087,1140847,2007-01-28,2009-06-08,2007,2009,Member of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to higher education in the area of Australian military history and heritage as a researcher, author and academic.",New England Chef,1,2009-06-08,2009,2007,-862,-2,2007-W04,2009-W24,-124,before Honours
David Hurley,M,Yes,AC,ACT,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/David_Hurley,16442028,1141684,2008-03-21,2010-01-26,2008,2010,Companion of the Order of Australia,Australia Day 2010 Honours List,M,"For eminent service to the Australian Defence Force as Chief of Capability Development Group, Chief of Joint Operations and Vice Chief of the Defence Force.",Australian Army general and Governor-General of Australia,2,2004-01-26,2004,2008,1516,4,2008-W12,2004-W05,216,on or after honours
David Ipp,M,Yes,AO,NSW,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/David_Ipp,17685695,1133694,2008-05-31,2007-01-26,2008,2007,Officer of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the judiciary through implementation of major reforms in court procedure in Western Australia, and to the law as a significant contributor to a review of the law of negligence in Australia.",Australian judge,1,2007-01-26,2007,2008,491,1,2008-W22,2007-W04,70,on or after honours
