name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Allan Harman,M,Yes,OAM,VIC,2010-06-14,2010,Post,https://en.wikipedia.org/wiki/Allan_Harman,26145091,1142894,2010-02-10,2010-06-14,2010,2010,Medal of the Order of Australia,The Queen's Birthday 2010 Honours List,G,For service to the Presbyterian Church of Australia.,Australian theologian,1,2010-06-14,2010,2010,-124,0,2010-W06,2010-W24,-18,before Honours
Allan Hawke,M,Yes,AC,ACT,2010-06-14,2010,Post,https://en.wikipedia.org/wiki/Allan_Hawke,27073063,1142599,2010-04-23,2010-06-14,2010,2010,Companion of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For eminent service to public administration, particularly through the formulation and implementation of policy in the areas of transport, defence and education, and to the strengthening of bilateral relations with New Zealand.",Australian diplomat,1,2010-06-14,2010,2010,-52,0,2010-W16,2010-W24,-8,before Honours
Allan Luke,M,Yes,AO,QLD,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Allan_Luke,13949797,1151768,2007-10-28,2015-06-08,2007,2015,Officer of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For distinguished service to higher education, particularly in the areas of literacy, curriculum reform, educational policy, applied linguistics and sociology, and to improved learning outcomes for Indigenous students.",Australian academic,1,2015-06-08,2015,2007,-2780,-8,2007-W43,2015-W24,-398,before Honours
Allan Moss,M,Yes,AO,Other,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/Allan_Moss,6495325,1135885,2006-08-16,2005-06-13,2006,2005,Officer of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to the investment banking industry through innovative management practices and support for moves to raise standards in the financial services industry, and to the community.",Australian businessman,1,2005-06-13,2005,2006,429,1,2006-W33,2005-W24,61,on or after honours
Allan Myers,M,Yes,AC,VIC,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/Allan_Myers,43183013,1152655,2014-07-01,2016-01-26,2014,2016,Companion of the Order of Australia,Australia Day 2016 Honours List,G,"For eminent service to the community through philanthropic leadership in support of major visual arts, higher education, medical research and not-for-profit organisations, to the law, and to professional learning programs.","Australian lawyer, academic, businessman, landowner, philanthropist",2,2007-06-11,2007,2014,2577,7,2014-W27,2007-W24,368,on or after honours
Allan Sparkes,M,Yes,OAM,NSW,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Allan_Sparkes,41133741,1155235,2013-11-20,2017-01-26,2013,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,"For service to mental health support organisations, and to the community.",Detective senior constable:New South Wales Police(1977–1998)/recipient Cross of Valour,1,2017-01-26,2017,2013,-1163,-4,2013-W47,2017-W04,-167,before Honours
Allan Viney,M,Yes,OAM,NSW,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Allan_Viney,18889032,1134236,2008-08-16,2007-01-26,2008,2007,Medal of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the community through rural fire and service organisations, and to the New South Wales Parliament.",Australian politician,1,2007-01-26,2007,2008,568,1,2008-W33,2007-W04,81,on or after honours
Allan Zavod,M,Yes,OAM,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Allan_Zavod,41879688,1155318,2014-02-08,2017-01-26,2014,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to the performing arts as a musician and composer.,Australian pianist and composer,1,2017-01-26,2017,2014,-1083,-3,2014-W06,2017-W04,-155,before Honours
Amanda Keller,F,Yes,OAM,NSW,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Amanda_Keller,1193798,1154048,2004-11-21,2016-06-13,2004,2016,Medal of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For service to the broadcast media, and to the community.",Australian television presenter,1,2016-06-13,2016,2004,-4222,-12,2004-W47,2016-W24,-604,before Honours
Amanda Thane,F,Yes,OAM,NSW,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Amanda_Thane,41769220,1146237,2014-01-29,2012-06-11,2014,2012,Medal of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For service to the performing arts as an opera singer, performer and teacher, and to the community.",Australian opera singer,1,2012-06-11,2012,2014,597,2,2014-W05,2012-W24,85,on or after honours
Amanda Vanstone,F,Yes,AO,SA,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Amanda_Vanstone,1007525,2005979,2004-09-22,2020-01-26,2004,2020,Officer of the Order of Australia,Australia Day 2020 Honours List,G,"For distinguished service to the Parliament of Australia, to the people of South Australia, and to the community.",Australian politician,1,2020-01-26,2020,2004,-5604,-16,2004-W39,2020-W04,-801,before Honours
Amin Saikal,M,Yes,AM,ACT,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Amin_Saikal,3905409,1131448,2006-01-31,2006-01-26,2006,2006,Member of the Order of Australia,Australia Day 2006 Honours List,G,"For service to the international community and to education through the development of the Centre for Arab and Islamic studies, and as an author and adviser.",Australian academic,1,2006-01-26,2006,2006,5,0,2006-W05,2006-W04,0,on or after honours
Amy Turner Australian rugby union,F,Yes,OAM,NSW,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Amy_Turner_(Australian_rugby_union),48843591,1155274,2015-12-17,2017-01-26,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Olympic Games.,Australian rugby union player,1,2017-01-26,2017,2015,-406,-2,2015-W51,2017-W04,-58,before Honours
