name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Alan Wrigley,AO,1989,2014,2014-08-20,1989-06-12,Yes,1989-06-12,2001-01-15,2001,4965,13,Pre,M,ACT,43607137,Officer of the Order of Australia,Mr Alan Keveral Cumming Newton WRIGLEY,The Queen's Birthday 1989 Honours List,G,AO QB89. FOR PUBLIC SERVICE PARTICULARLY AS DIRECTOR GENERAL OF THE AUSTRALIAN SECURITY INTELLIGENCE ORGANISATION,"Australian writer, public servant and  Director-General of Security",https://en.wikipedia.org/wiki/Alan_Wrigley,NA,1
Alanna Nobbs,AM,2012,2011,2011-12-22,2012-06-11,Yes,2012-06-11,2012-06-11,2012,-172,-1,Post,M,NSW,34152717,Member of the Order of Australia,Professor Alanna Maree NOBBS,The Queen's Birthday 2012 Honours List,G,"For service to education in the fields of ancient history and the classics as an educator, and through leadership roles in professional organisations, particularly the Society for the Study of Early Christianity.",academic,https://en.wikipedia.org/wiki/Alanna_Nobbs,NA,1
Alasdair Webster,OAM,2008,2008,2008-05-23,2008-01-26,Yes,2008-01-26,2008-01-26,2008,118,0,Post,M,NSW,17569879,Medal of the Order of Australia,Mr Alasdair Paine WEBSTER,Australia Day 2008 Honours List,G,"For service to the Parliament of Australia, and to the community through Indigenous, educational and service organisations.",Australian politician,https://en.wikipedia.org/wiki/Alasdair_Webster,NA,1
Alastair MacLennan (obstetrician),AO,2011,2016,2016-12-02,2011-01-26,Yes,2011-01-26,2011-01-26,2011,2137,5,Post,M,SA,52451385,Officer of the Order of Australia,Professor Alastair Harvey MacLENNAN,Australia Day 2011 Honours List,G,"For distinguished service to medicine as a leading researcher and practitioner in the areas of obstetrics and gynaecology and the causes of cerebral palsy, to medical education, and to professional development.","Scottish-Australian doctor, professor of obstetrics and gynaecology, medical researcher, and a community health advocate",https://en.wikipedia.org/wiki/Alastair_MacLennan_(obstetrician),NA,1
Alastair Nicholson,AO,1992,2009,2009-10-08,1992-01-26,Yes,1992-01-26,2001-01-15,2001,3188,8,Pre,M,VIC,24616945,Officer of the Order of Australia,Air Vice Marshal the Hon Mr Justice Alastair Bothwick NICHOL,Australia Day 1992 Honours List,M,AO/AD 1992 (MILITARY DIVISION). FOR SERVICE TO THE ROYAL AUSTRALIAN AIR FORCE AS JUDGE ADVOCATE GENERAL OF THE AUSTRALIAN DEFENCE FORCE,Australian judge,https://en.wikipedia.org/wiki/Alastair_Nicholson,NA,1
Albert Arlen,AM,1990,2008,2008-11-28,1990-01-26,Yes,1990-01-26,2001-01-15,2001,2874,7,Pre,M,QLD,20436904,Member of the Order of Australia,Mr Albert ARLEN,Australia Day 1990 Honours List,G,In recognition of service to music and the performing arts,Australian actor and musician,https://en.wikipedia.org/wiki/Albert_Arlen,NA,1
Albert Pugsley,AM,1981,2009,2009-09-15,1981-01-26,Yes,1981-01-26,2001-01-15,2001,3165,8,Pre,M,VIC,24353802,Member of the Order of Australia,Dr Albert Tonkin PUGSLEY,Australia Day 1981 Honours List,G,"AM AUST DAY 1981. FOR SERVICE TO AGRICULTURE, PARTICULARLY IN THE FIELD OF WHEAT RESEARCH",Australian agricultural scientist and wheat breeder,https://en.wikipedia.org/wiki/Albert_Pugsley,NA,1
Albert Ullin,OAM,1997,2018,2018-09-12,1997-01-26,Yes,1997-01-26,2001-01-15,2001,6449,17,Pre,M,VIC,58466787,Medal of the Order of Australia,Mr Albert Henry ULLIN,Australia Day 1997 Honours List,G,OAM. FOR SERVICE TO THE PROMOTION OF CHILDRENS LITERATURE IN AUSTRALIA AND OVERSEAS. GAZ S13. AUST DAY 1997,German-Australian bookseller,https://en.wikipedia.org/wiki/Albert_Ullin,NA,1
Albie Thomas,OAM,2013,2010,2010-04-20,2013-06-10,Yes,2013-06-10,2013-06-10,2013,-1147,-3,Post,M,NSW,27029272,Medal of the Order of Australia,Mr Albert George THOMAS,The Queen's Birthday 2013 Honours List,G,"For service to athletics as an athlete, administrator and promoter of charitable events, and to the community.",Australian athletics competitor,https://en.wikipedia.org/wiki/Albie_Thomas,NA,1
Alec Fong Lim,AM,1986,2009,2009-08-25,1986-06-09,Yes,1986-06-09,2001-01-15,2001,3144,8,Pre,M,NT,24108985,Member of the Order of Australia,Mr Alec FONG LIM,The Queen's Birthday 1986 Honours List,G,In recognition of service to the community and to local government,Australian mayor,https://en.wikipedia.org/wiki/Alec_Fong_Lim,NA,1
