name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Chris Barrie (admiral),AC,2001,2005,2005-04-18,2001-01-26,Yes,1994-01-26,2001-01-15,2001,1554,4,Pre,M,ACT,1757013,Companion of the Order of Australia,"Admiral Christopher Alexander BARRIE, RAN",Australia Day 2001 Honours List,M,For eminent service to the Australian Defence Force as Chief of the Defence Force,"Australian naval officer, Chief of the Defence Force",https://en.wikipedia.org/wiki/Chris_Barrie_(admiral),NA,3
Chris Bond (wheelchair rugby),OAM,2014,2012,2012-07-06,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-569,-2,Post,M,QLD,36348433,Medal of the Order of Australia,Mr Christopher Adam BOND,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian male wheelchair rugby Paralympian,https://en.wikipedia.org/wiki/Chris_Bond_(wheelchair_rugby),NA,1
Chris Field (general),AM,2016,2019,2019-10-24,2016-06-13,Yes,2016-06-13,2016-06-13,2016,1228,3,Post,M,QLD,62146479,Member of the Order of Australia,Brigadier Christopher Antony FIELD,The Queen's Birthday 2016 Honours List,M,"For exceptional service to the Australian Army as the Chief Operations and Plans, Queensland Reconstruction Authority in 2011, and as the Chief of Staff of Headquarters Forces Command from 2012.","Major General, Australian Army",https://en.wikipedia.org/wiki/Chris_Field_(general),NA,1
Chris Fydler,OAM,2001,2006,2006-06-10,2001-01-26,Yes,2001-01-26,2001-01-26,2001,1961,5,Post,M,NSW,5504618,Medal of the Order of Australia,Mr Christopher John FYDLER,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian swimmer,https://en.wikipedia.org/wiki/Chris_Fydler,NA,1
Chris Gilbey,OAM,1992,2008,2008-06-19,1992-06-08,Yes,1992-06-08,2001-01-15,2001,2712,7,Pre,M,NSW,18019674,Medal of the Order of Australia,Mr Christopher John GILBEY,The Queen's Birthday 1992 Honours List,G,In recognition of service to the Australian music industry and to the Paraplegic and Quadriplegic Association,"Businessman, educator, consultant",https://en.wikipedia.org/wiki/Chris_Gilbey,NA,1
Chris Heyde,AM,2003,2008,2008-03-14,2003-01-26,Yes,2003-01-26,2003-01-26,2003,1874,5,Post,M,ACT,16288468,Member of the Order of Australia,Dr Christopher Charles HEYDE,Australia Day 2003 Honours List,NA,"For service to mathematics, particularly through research into statistics and probability, and to the advancement of learning in these disciplines.",Australian mathematician,https://en.wikipedia.org/wiki/Chris_Heyde,NA,1
Chris Hurford,AO,1993,2007,2007-11-16,1993-01-26,Yes,1993-01-26,2001-01-15,2001,2496,6,Pre,M,SA,14272922,Officer of the Order of Australia,The Honourable Christopher John HURFORD,Australia Day 1993 Honours List,G,For service to the Australian Parliament and to Australian/American cultural and commercial relations.,Australian politician (born 1931),https://en.wikipedia.org/wiki/Chris_Hurford,NA,1
Chris Maxwell (jurist),AC,2015,2007,2007-03-02,2015-06-08,Yes,2015-06-08,2015-06-08,2015,-3020,-8,Post,M,VIC,9804785,Companion of the Order of Australia,The Honourable Justice Christopher Murray MAXWELL,The Queen's Birthday 2015 Honours List,G,"For eminent service to the law and to the judiciary, particularly administrative reform of the appeals process, through contributions to legal education and professional development, and as a leading supporter of human rights and civil liberties.",Australian judge,https://en.wikipedia.org/wiki/Chris_Maxwell_(jurist),NA,1
Chris Mitchell (journalist),AO,2019,2006,2006-02-07,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-4736,-13,Post,M,NSW,3995579,Officer of the Order of Australia,Mr Christopher John MITCHELL,Australia Day 2019 Honours List,G,"For distinguished service to the print media through senior editorial roles, as a journalist, and to Indigenous education programs.",Australian journalist,https://en.wikipedia.org/wiki/Chris_Mitchell_(journalist),NA,1
Chris Nunn,OAM,2002,2011,2011-10-17,2002-01-26,Yes,2002-01-26,2002-01-26,2002,3551,9,Post,M,ACT,33433690,Medal of the Order of Australia,Mr Christopher John NUNN,Australia Day 2002 Honours List,G,"For service to sport as a coach, particularly to athletes with a disability, and for providing Australian Paralympic squads with elite sporting opportunities.",Australian Paralympic coach,https://en.wikipedia.org/wiki/Chris_Nunn,NA,1
Chris O'Brien (surgeon),AO,2009,2009,2009-06-13,2009-06-08,Yes,2009-06-08,2009-06-08,2009,5,0,Post,M,NSW,23202387,Officer of the Order of Australia,Professor Christopher John O'BRIEN,The Queen's Birthday 2009 Honours List,G,"For continued service to medicine and to the community through advocacy and fundraising roles for the development of integrated care and clinical research facilities for people with cancer, particularly the establishment of the Lifehouse Centre at Royal Prince Alfred Hospital.",Australian surgeon,https://en.wikipedia.org/wiki/Chris_O%27Brien_(surgeon),NA,1
Chris Puplick,AM,2001,2008,2008-09-29,2001-06-11,Yes,2001-06-11,2001-06-11,2001,2667,7,Post,M,NSW,19529654,Member of the Order of Australia,Mr Christopher John Guelph PUPLICK,The Queen's Birthday 2001 Honours List,G,"For service to the protection of human rights and access to social justice in Australia, and to community health through advocacy and support in the area of HIV/AIDS.",Australian politician (born 1948),https://en.wikipedia.org/wiki/Chris_Puplick,NA,1
Chris Riley (priest),AM,2006,2007,2007-12-07,2006-06-12,Yes,2006-06-12,2006-06-12,2006,543,1,Post,M,NSW,14595692,Member of the Order of Australia,The Reverend Father Chris Keith RILEY,The Queen's Birthday 2006 Honours List,G,"For service to disadvantaged youth through the establishment of 'Youth Off The Streets' and the development of a range of assistance and mentoring initiatives for adolescents, and to the welfare of children overseas through humanitarian assistance efforts.",Catholic priest,https://en.wikipedia.org/wiki/Chris_Riley_(priest),NA,1
Chris Ritchie,AO,2001,2004,2004-03-19,2001-01-26,Yes,1992-01-26,2001-01-15,2001,1159,3,Pre,M,Other,536792,Officer of the Order of Australia,Rear Admiral Christopher Angus RITCHIE,Australia Day 2001 Honours List,M,"For distinguished service to the Australian Defence Forcde and the Royal Australian Navy as the Maritime Commander Australia, Deputy Chief of Navy and Head Capability Systems",Australian admiral,https://en.wikipedia.org/wiki/Chris_Ritchie,NA,2
Chris Silagy,AO,2000,2010,2010-04-02,2000-06-12,Yes,2000-06-12,2001-01-15,2001,3364,9,Pre,M,VIC,26797631,Officer of the Order of Australia,Professor Christopher Allen SILAGY,The Queen's Birthday 2000 Honours List,G,"For service to medicine, particularly in the areas of research and education, and in developments in the field of evidence-based medicine.",Australian academic,https://en.wikipedia.org/wiki/Chris_Silagy,NA,1
Chris Sumner,AM,2001,2011,2011-09-30,2001-01-26,Yes,2001-01-26,2001-01-26,2001,3899,10,Post,M,SA,33258707,Member of the Order of Australia,The Honourable Christopher John SUMNER,Australia Day 2001 Honours List,G,"For service to the South Australian Parliament, to the law, particularly establishing basic principles of justice for victims of crime, to multiculturalism and to the National Native Title Tribunal.",Australian politician,https://en.wikipedia.org/wiki/Chris_Sumner,NA,1
Chris Wallace-Crabbe,AM,2011,2005,2005-11-03,2011-06-13,Yes,2011-06-13,2011-06-13,2011,-2048,-6,Post,M,VIC,3071157,Member of the Order of Australia,Emeritus Professor Christopher Keith WALLACE-CRABBE,The Queen's Birthday 2011 Honours List,G,"For service to the arts as a leading poet, critic and educator, and as an ambassador and advocate for the humanities both nationally and internationally, and through support for emerging writers.",Australian poet,https://en.wikipedia.org/wiki/Chris_Wallace-Crabbe,NA,1
Christian Thompson (artist),AO,2018,2009,2009-04-05,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-3354,-9,Post,M,VIC,22286793,Officer of the Order of Australia,Dr Christian Andrew THOMPSON,The Queen's Birthday 2018 Honours List,G,"For distinguished service to the visual arts as a sculptor, photographer, video and performance artist, and as a role model for young Indigenous artists.",Australian artist,https://en.wikipedia.org/wiki/Christian_Thompson_(artist),NA,1
Christian Zahra,AM,2018,2004,2004-05-04,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-5151,-14,Post,M,VIC,634209,Member of the Order of Australia,Mr Christian John ZAHRA,The Queen's Birthday 2018 Honours List,G,"For significant service to rural and regional development, to the advancement of Indigenous welfare, and to the Parliament of Australia.",Australian politician,https://en.wikipedia.org/wiki/Christian_Zahra,NA,1
Christine Milne,AO,2018,2004,2004-10-23,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-4979,-14,Post,F,TAS,1094619,Officer of the Order of Australia,Ms Christine Anne MILNE,The Queen's Birthday 2018 Honours List,G,"For distinguished service to the Australian and Tasmanian Parliaments, and through domestic and global contributions to the protection and preservation of the natural environment.",Australian politician,https://en.wikipedia.org/wiki/Christine_Milne,NA,1
Christine Wheeler,AO,2013,2009,2009-03-09,2013-01-26,Yes,2013-01-26,2013-01-26,2013,-1419,-4,Post,F,WA,21888085,Officer of the Order of Australia,The Honourable Dr Christine Ann WHEELER,Australia Day 2013 Honours List,G,"For distinguished service to the judiciary and the law, through leadership in the administration of justice and contributions to legal education, as a mentor to women, and to the community of Western Australia.",Australian judge,https://en.wikipedia.org/wiki/Christine_Wheeler,NA,1
Christine Wolf,OAM,2009,2009,2009-02-14,2009-01-26,Yes,2009-01-26,2009-01-26,2009,19,0,Post,F,ACT,21537289,Medal of the Order of Australia,Ms Christine Ingrid WOLF,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian Paralympic athlete born in Germany,https://en.wikipedia.org/wiki/Christine_Wolf,NA,1
Christobel Mattingley,AM,1996,2016,2016-07-04,1996-06-11,Yes,1996-06-11,2001-01-15,2001,5649,15,Pre,F,SA,50991346,Member of the Order of Australia,Mrs Christobel Rosemary MATTINGLEY,The Queen's Birthday 1996 Honours List,G,"AM. FOR SERVICE TO LITERATURE, PARTICULARLY CHILDREN'S LITERATURE, AND FOR COMMUNITY SERVICE THROUGH HER COMMITMENT TO SOCIAL AND CULTURAL ISSUES. QB 1996",author,https://en.wikipedia.org/wiki/Christobel_Mattingley,NA,1
Christobel Saunders,AO,2018,2015,2015-06-22,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-1085,-3,Post,F,WA,47052971,Officer of the Order of Australia,Professor Christobel Mary SAUNDERS,The Queen's Birthday 2018 Honours List,G,"For distinguished service to medical education in the field of surgical oncology, to the diagnosis and management of breast cancer and melanoma, as an academic, researcher and clinician.",British-Australian oncology surgeon,https://en.wikipedia.org/wiki/Christobel_Saunders,NA,1
Christopher Koch,AO,1995,2006,2006-01-09,1995-01-26,Yes,1995-01-26,2001-01-15,2001,1820,5,Pre,M,TAS,3663575,Officer of the Order of Australia,Mr Christopher John KOCH,Australia Day 1995 Honours List,G,AO/FOR SERVICE TO AUSTRALIAN LITERATURE AS A NOVELIST AUST DAY 1995,Australian novelist,https://en.wikipedia.org/wiki/Christopher_Koch,NA,1
Christopher Margules,AM,2005,2008,2008-02-11,2005-06-13,Yes,2005-06-13,2005-06-13,2005,973,3,Post,M,QLD,15698259,Member of the Order of Australia,Dr Christopher Robert MARGULES,The Queen's Birthday 2005 Honours List,G,"For service to conservation and the environment, particularly through innovation in the fields of biodiversity assessment and conservation planning, and through collaborating on projects at both  local and international level.",Australian environmentalist,https://en.wikipedia.org/wiki/Christopher_Margules,NA,1
Christopher Mullins,OAM,2009,2011,2011-10-05,2009-01-26,Yes,2009-01-26,2009-01-26,2009,982,2,Post,M,VIC,33308930,Medal of the Order of Australia,Mr Christopher James MULLINS,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian paralympic athlete,https://en.wikipedia.org/wiki/Christopher_Mullins,NA,1
Christopher Roper (legal educator),AM,1999,2013,2013-01-22,1999-01-26,Yes,1999-01-26,2001-01-15,2001,4390,12,Pre,M,NSW,38294190,Member of the Order of Australia,Mr Christopher John ROPER,Australia Day 1999 Honours List,G,FOR SERVICE TO THE DEVELOPMENT OF COUNTINUING LEGAL EDUCATION. AM S16 1999,lawyer,https://en.wikipedia.org/wiki/Christopher_Roper_(legal_educator),NA,1
Christopher Scott (cyclist),OAM,1997,2008,2008-09-10,1997-01-26,Yes,1997-01-26,2001-01-15,2001,2795,7,Pre,M,QLD,19265214,Medal of the Order of Australia,Mr Christopher Ian SCOTT,Australia Day 1997 Honours List,G,OAM. FOR SERVICE AS A GOLD MEDALLIST AT THE ATLANTA PARALYMPIC GAMES 1996. GAZ S13. AD1997,Australian former Paralympic Road and track racing cyclist,https://en.wikipedia.org/wiki/Christopher_Scott_(cyclist),NA,1
Christopher Steytler,AO,2012,2007,2007-02-19,2012-06-11,Yes,2012-06-11,2012-06-11,2012,-1939,-5,Post,M,WA,11183146,Officer of the Order of Australia,The Honourable Professor Christopher David STEYTLER,The Queen's Birthday 2012 Honours List,G,"For distinguished service to the judiciary and to the law, to the advancement and protection of human rights, to legal education, and to professional ethics and standards.",Australian justice,https://en.wikipedia.org/wiki/Christopher_Steytler,NA,1
Christopher Weeramantry,AM,2003,2006,2006-12-06,2003-11-28,Yes,2003-11-28,2003-11-28,2003,1104,3,Post,M,VIC,8296219,Member of the Order of Australia,His Excellency Judge Christopher Gregory WEERAMANTRY,NA,HG,For service to the law.,Sri Lankan judge,https://en.wikipedia.org/wiki/Christopher_Weeramantry,NA,1
Cindy Shannon,AM,2020,2018,2018-05-02,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-634,-2,Post,F,QLD,57297675,Member of the Order of Australia,Emeritus Professor Cindy SHANNON,Australia Day 2020 Honours List,G,"For significant service to Indigenous health, and to medical education.",Australian academic,https://en.wikipedia.org/wiki/Cindy_Shannon,NA,1
Cindy-Lu Bailey,OAM,1985,2017,2017-08-31,1985-06-10,Yes,1985-06-10,2001-01-15,2001,6072,16,Pre,F,NSW,55097394,Medal of the Order of Australia,Miss Cindy-Lu FITZPATRICK,The Queen's Birthday 1985 Honours List,G,In recognition of service to the sport of swimming,Australian swimmer,https://en.wikipedia.org/wiki/Cindy-Lu_Bailey,NA,1
Claire Dan,AM,1986,2012,2012-12-27,1986-01-26,Yes,1986-01-26,2001-01-15,2001,4364,11,Pre,F,NSW,38034195,Member of the Order of Australia,Miss Claire DAN,Australia Day 1986 Honours List,G,In recognition of service to the performing arts,"actress and philanthropist, founder of the Sydney International Piano Competition",https://en.wikipedia.org/wiki/Claire_Dan,NA,1
Claire Dunne,OAM,1999,2008,2008-07-07,1999-06-14,Yes,1999-06-14,2001-01-15,2001,2730,7,Pre,F,NSW,18322117,Medal of the Order of Australia,Ms Clare Mary Elizabeth DUNNE,The Queen's Birthday 1999 Honours List,G,"OAM. FOR SERVICE TO MULTICULTURALISM, PARTICULARLY THROUGH THE PROMOTION OF CELTIC CULTURE, AND TO ETHNIC BROADCASTING. GAZ S214. QB99",Australian actress and author,https://en.wikipedia.org/wiki/Claire_Dunne,NA,1
Claire Mitchell-Taverner,OAM,2001,2012,2012-05-15,2001-01-26,Yes,2001-01-26,2001-01-26,2001,4127,11,Post,F,WA,35834005,Medal of the Order of Australia,Ms Claire MITCHELL-TAVERNER,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Olympic field hockey player,https://en.wikipedia.org/wiki/Claire_Mitchell-Taverner,NA,1
Clare Martin,AO,2019,2002,2002-04-16,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-6264,-17,Post,F,NT,49316,Officer of the Order of Australia,The Honourable Clare Majella MARTIN,Queen's Birthday 2019 Honours List,G,"For distinguished service to the people and Legislative Assembly of the Northern Territory, and as a community advocate.","Australian politician, 7th Chief Minister of the Northern Territory",https://en.wikipedia.org/wiki/Clare_Martin,NA,1
Clare Stevenson,AM,1988,2009,2009-01-12,1988-01-26,Yes,1988-01-26,2001-01-15,2001,2919,8,Pre,F,NSW,21057831,Member of the Order of Australia,"Miss Clare Grant STEVENSON, MBE",Australia Day 1988 Honours List,G,MBE QB 1960. AM AUST DAY 1988. FOR SERVICE TO THE COMMUNITY AND TO THE WELFARE OF VETERANS,"Director WAAAF, Founder President Carers NSW",https://en.wikipedia.org/wiki/Clare_Stevenson,NA,1
Clare Wright,OAM,2020,2014,2014-04-30,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-2097,-6,Post,F,VIC,42625639,Medal of the Order of Australia,Professor Clare Alice WRIGHT,Australia Day 2020 Honours List,G,"For service to literature, and to historical research.",Australian historian and author,https://en.wikipedia.org/wiki/Clare_Wright,NA,1
Clarrie Hermes,AM,1985,2016,2016-07-24,1985-01-26,Yes,1985-01-26,2001-01-15,2001,5669,15,Pre,M,ACT,51149736,Member of the Order of Australia,Mr Clarence Lindsay HERMES,Australia Day 1985 Honours List,G,For service to youth in the Australian Capital Territory.,Australian barrister and magistrate,https://en.wikipedia.org/wiki/Clarrie_Hermes,NA,1
Clarrie Millar,AM,1991,2008,2008-07-26,1991-01-26,Yes,1991-01-26,2001-01-15,2001,2749,7,Pre,M,QLD,18588977,Member of the Order of Australia,Mr Percival Clarence MILLAR,Australia Day 1991 Honours List,G,AM/AUST DAY 1991 (GENERAL DIVISION). FOR SERVICE TO THE AUSTRALIAN PARLIAMENT,Australian politician,https://en.wikipedia.org/wiki/Clarrie_Millar,NA,1
Claude Ewen Cameron,OAM,1980,2015,2015-03-25,1980-01-26,Yes,1980-01-26,2001-01-15,2001,5182,14,Pre,M,NSW,46221804,Medal of the Order of Australia,"Brigadier Claude Ewen CAMERON, MC",Australia Day 1980 Honours List,G,In recognition of service to the community and the welfare of ex-service personnel,Australian Army officer,https://en.wikipedia.org/wiki/Claude_Ewen_Cameron,NA,1
Cleaver Bunton,AO,1979,2005,2005-12-21,1979-01-26,Yes,1979-01-26,2001-01-15,2001,1801,4,Pre,M,NSW,3488618,Officer of the Order of Australia,"Mr Cleaver Ernest BUNTON, OBE",Australia Day 1979 Honours List,G,In recognition of service to local government,Australian politician,https://en.wikipedia.org/wiki/Cleaver_Bunton,NA,1
Clem Christesen,OAM,2000,2007,2007-05-29,2000-01-26,Yes,2000-01-26,2001-01-15,2001,2325,6,Pre,M,VIC,11478371,Medal of the Order of Australia,Dr Clement Byrne CHRISTESEN,Australia Day 2000 Honours List,G,For service to the development of Australian creative and critical writing as founder and editor of Meanjin Quarterly.,Australian literary critic and editor,https://en.wikipedia.org/wiki/Clem_Christesen,NA,1
Clem Jones,AO,1976,2006,2006-02-25,1976-01-26,Yes,1976-01-26,2001-01-15,2001,1867,5,Pre,M,QLD,4190469,Officer of the Order of Australia,Mr Clem JONES,Australia Day 1976 Honours List,G,For distinguished service of a high degree in the fields of public service and local government.,"Lord Mayor of the city of Brisbane, Australia",https://en.wikipedia.org/wiki/Clem_Jones,NA,1
Clem Newton-Brown,OAM,2019,2010,2010-11-30,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-3114,-9,Post,M,VIC,29815343,Medal of the Order of Australia,Mr Clement Arundel NEWTON-BROWN,Queen's Birthday 2019 Honours List,G,"For service to the Parliament of Victoria, and to the community of Melbourne.",Australian politician,https://en.wikipedia.org/wiki/Clem_Newton-Brown,NA,1
Clem Renouf,AM,1979,2017,2017-06-23,1979-01-26,Yes,1979-01-26,2001-01-15,2001,6003,16,Pre,M,QLD,54378169,Member of the Order of Australia,Mr Clement William Bailey RENOUF,Australia Day 1979 Honours List,G,For community service.,Australian accountant and former President of Rotary International,https://en.wikipedia.org/wiki/Clem_Renouf,NA,1
Cliff Blake,AO,2002,2015,2015-10-03,2002-01-26,Yes,2002-01-26,2002-01-26,2002,4998,13,Post,M,NSW,48028946,Officer of the Order of Australia,Professor Clifford Douglas BLAKE,Australia Day 2002 Honours List,G,"For service to tertiary education, particularly through the development of vocationally oriented and professional development courses at Charles Sturt University, the provision of distance education services, for leadership in industrial relations matters in higher education, and to the community.",Australian biologist,https://en.wikipedia.org/wiki/Cliff_Blake,NA,1
Cliff Dolan,AO,1980,2017,2017-12-18,1980-06-09,Yes,1980-06-09,2001-01-15,2001,6181,16,Pre,M,NSW,56082680,Officer of the Order of Australia,Mr Clifford Ormond DOLAN,The Queen's Birthday 1980 Honours List,G,In recognition of service to trade unionism,NA,https://en.wikipedia.org/wiki/Cliff_Dolan,NA,1
Cliff Green,OAM,2009,2009,2009-06-08,2009-06-08,Yes,2009-06-08,2009-06-08,2009,0,0,Post,M,VIC,23140011,Medal of the Order of Australia,Mr Clifford GREEN,The Queen's Birthday 2009 Honours List,G,For service to the Australian film and television industry as a screenwriter and educator.,Australian writer,https://en.wikipedia.org/wiki/Cliff_Green,NA,1
Cliff Hawkins,AM,1988,2008,2008-09-28,1988-06-13,Yes,1988-06-13,2001-01-15,2001,2813,7,Pre,M,SA,19507264,Member of the Order of Australia,Mr Clifford HAWKINS,The Queen's Birthday 1988 Honours List,G,AM QB88. FOR SERVICE TO THE REAL ESTATE INDUSTRY,Australian businessman,https://en.wikipedia.org/wiki/Cliff_Hawkins,NA,1
Cliff Young (athlete),OAM,1984,2006,2006-10-10,1984-01-26,Yes,1984-01-26,2001-01-15,2001,2094,5,Pre,M,VIC,7376363,Medal of the Order of Australia,Mr Albert Ernest Clifford YOUNG,Australia Day 1984 Honours List,G,OAM AD 84. FOR LONG DISTANCE RUNNING,Australian ultra marathon runner,https://en.wikipedia.org/wiki/Cliff_Young_(athlete),NA,1
Clifford Harry Thompson,AM,2004,2014,2014-06-08,2004-06-14,Yes,2004-06-14,2004-06-14,2004,3646,10,Post,M,QLD,42997405,Member of the Order of Australia,Mr Clifford Harry THOMPSON,The Queen's Birthday 2004 Honours List,NA,"For service to soil science as a researcher and educator, and as an advisor in land management practices and conservation issues.",Australian geomorphologist and Principal Research Scientist with CSIRO,https://en.wikipedia.org/wiki/Clifford_Harry_Thompson,NA,1
Clifford Hocking,AM,1990,2019,2019-01-06,1990-06-11,Yes,1990-06-11,2001-01-15,2001,6565,18,Pre,M,VIC,59588392,Member of the Order of Australia,Mr Clifford Henry HOCKING,The Queen's Birthday 1990 Honours List,G,For service to the arts and to entertainment.,NA,https://en.wikipedia.org/wiki/Clifford_Hocking,NA,1
Clifford Possum Tjapaltjarri,AO,2002,2005,2005-07-23,2002-06-10,Yes,2002-06-10,2002-06-10,2002,1139,3,Post,M,NSW,2292559,Officer of the Order of Australia,Mr Clifford POSSUM Tjapaltjarri,The Queen's Birthday 2002 Honours List,NA,"For service as a contributor to and pioneer of the development of the Western Desert art movement, and to the indigenous community through interpretation of ancient traditions and cultural values.",Australian Aboriginal artist (1932—2002),https://en.wikipedia.org/wiki/Clifford_Possum_Tjapaltjarri,NA,1
Clifton Hoeben,AM,1996,2006,2006-06-11,1996-06-11,Yes,1996-06-11,2001-01-15,2001,1973,5,Pre,M,NSW,5513757,Member of the Order of Australia,Brigadier Clifton Ralph Russell HOEBEN,The Queen's Birthday 1996 Honours List,M,For exceptional service to the army as Commander of the 8th Brigade.,Australian general and Supreme Court judge,https://en.wikipedia.org/wiki/Clifton_Hoeben,NA,1
Clifton Pugh,AO,1985,2005,2005-09-25,1985-01-26,Yes,1985-01-26,2001-01-15,2001,1714,4,Pre,M,VIC,2762177,Officer of the Order of Australia,Mr Clifton Ernest PUGH,Australia Day 1985 Honours List,G,AO. FOR SERVICE TO AUSTRALIAN ART. AD 85,Australian artist (1924-1990),https://en.wikipedia.org/wiki/Clifton_Pugh,NA,1
Clint Robinson (canoeist),OAM,1993,2008,2008-07-17,1993-01-26,Yes,1993-01-26,2001-01-15,2001,2740,7,Pre,M,QLD,18469995,Medal of the Order of Australia,Mr Clint David ROBINSON,Australia Day 1993 Honours List,G,OAM/FOR SERVICE TO SPORT AS A GOLD MEDALLIST IN THE K1 1000 METRES CANOEING EVENT AT THE OLYMPIC GAMES BARCELONA 1992. JAN 93 AUST DAY HONOURS,Australian sprint kayaker and surf lifesaver,https://en.wikipedia.org/wiki/Clint_Robinson_(canoeist),NA,1
Clive Berghofer,AM,2006,2008,2008-01-06,2006-06-12,Yes,1994-01-26,2001-01-15,2001,2547,7,Pre,M,QLD,15081370,Member of the Order of Australia,Mr Clive John BERGHOFER,The Queen's Birthday 2006 Honours List,G,"For service to the community through philanthropic support for medical research, health, sporting and educational organisations in Queensland.",Australian politician,https://en.wikipedia.org/wiki/Clive_Berghofer,NA,2
Clive Churchill,AM,1985,2005,2005-12-15,1985-06-10,Yes,1985-06-10,2001-01-15,2001,1795,4,Pre,M,NSW,3427264,Member of the Order of Australia,Mr Clive Bernard CHURCHILL,The Queen's Birthday 1985 Honours List,G,"In recognition of service to sport, particularly Rugby League Football and to the community",Australian rugby league footballer and coach,https://en.wikipedia.org/wiki/Clive_Churchill,NA,1
Clive Deverall,AM,2001,2015,2015-06-27,2001-06-11,Yes,2001-06-11,2001-06-11,2001,5129,14,Post,M,WA,47091409,Member of the Order of Australia,Mr Clive DEVERALL,The Queen's Birthday 2001 Honours List,G,"For service to community health, particularly through the promotion of cancer awareness programmes and support services of the Cancer Foundation of Western Australia.",NA,https://en.wikipedia.org/wiki/Clive_Deverall,NA,1
Clive Griffiths (politician),AO,1997,2014,2014-12-07,1997-06-09,Yes,1997-06-09,2001-01-15,2001,5074,13,Pre,M,Other,44622003,Officer of the Order of Australia,The Honourable Clive Edward GRIFFITHS,The Queen's Birthday 1997 Honours List,G,"FOR SERVICE TO THE PARLIAMENT OF WESTERN AUSTRALIA, PARTICULARLY AS PRESIDENT OF THE LEGISLATIVE COUNCIL, AND TO THE COMMONWEALTH PARLIAMENTARY ASSOCIATION. AGENT GENERAL, GOVERNMENT OF WESTERN AUSTRALIA, EUROPEAN OFFICE WA HOUSE, 115 STRAND, LONDON WC2R",Australian politician,https://en.wikipedia.org/wiki/Clive_Griffiths_(politician),NA,1
Clive Hamilton,AM,2009,2003,2003-10-13,2009-06-08,Yes,2009-06-08,2009-06-08,2009,-2065,-6,Post,M,ACT,339820,Member of the Order of Australia,Professor Clive Charles HAMILTON,The Queen's Birthday 2009 Honours List,G,"For service to public debate and policy development, particularly in the fields of climate change, sustainability and societal trends.",Australian public intellectual,https://en.wikipedia.org/wiki/Clive_Hamilton,NA,1
Clive James,AO,2013,2004,2004-01-28,2013-01-26,Yes,1992-06-08,2001-01-15,2001,1108,3,Pre,M,Other,445291,Officer of the Order of Australia,Mr Clive JAMES,Australia Day 2013 Honours List,G,"For distinguished service to literature through contributions to cultural and intellectual heritage, particularly as a writer and poet.",Australian author,https://en.wikipedia.org/wiki/Clive_James,NA,2
Clive Lloyd,AO,1985,2004,2004-04-29,1985-01-22,Yes,1985-01-22,2001-01-15,2001,1200,3,Pre,M,Other,624962,Officer of the Order of Australia,Mr Clive Hubert LLOYD,NA,HG,"For service to the sport of cricket, particularly in relation to his outstanding and positive influence on the game in Australia.",former World Cup winning captain of West Indies in 1975 and 1979,https://en.wikipedia.org/wiki/Clive_Lloyd,NA,1
Clive Minton,AM,2001,2006,2006-08-20,2001-01-26,Yes,2001-01-26,2001-01-26,2001,2032,5,Post,M,VIC,6572241,Member of the Order of Australia,Dr Clive Dudley Thomas MINTON,Australia Day 2001 Honours List,G,"For service to ornithology, particularly in the study of migratory wading birds in Australia.",Australian ornithologist,https://en.wikipedia.org/wiki/Clive_Minton,NA,1
Clover Maitland,OAM,1997,2004,2004-06-18,1997-01-26,Yes,1997-01-26,2001-01-15,2001,1250,3,Pre,F,WA,734984,Medal of the Order of Australia,Miss Clover MAITLAND,Australia Day 1997 Honours List,G,OAM. FOR SERVICE TO SPORT AS A GOLD MEDALLIST AT THE ATLANTA OLYMPIC GAMES 1996. GAZ S13. AUST DAY 1997,field hockey player,https://en.wikipedia.org/wiki/Clover_Maitland,NA,1
