wikidataID,personLabel,personDescription,refurl,orderaus,orderausLabel,honsid,date_awarded,sitelink
Q2460840,Jennifer Rowe,"Australian fiction writer, for children as Emily Rodda (pseudonym), mystery for adults as Jennifer Rowe (real name)",NA,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,2002416,2019-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Jennifer_Rowe
Q2476134,Sarah Fitz-Gerald,Australian squash player,https://honours.pmc.gov.au/honours/awards/1056006,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1056006,2004-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Sarah_Fitz-Gerald
Q2482522,Magda Szubanski,Australian actress,https://honours.pmc.gov.au/honours/awards/2002399,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,2002399,2019-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Magda_Szubanski
Q2524788,Geoffrey Lancaster,Australian musician,https://honours.pmc.gov.au/honours/awards/1131411,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1131411,2006-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Geoffrey_Lancaster
Q2526670,Vincent Lingiari,Aboriginal rights activist,https://honours.pmc.gov.au/honours/awards/872769,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,872769,1976-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Vincent_Lingiari
Q2546246,Peter Costello,Australian politician,https://honours.pmc.gov.au/honours/awards/1143405,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,1143405,2011-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Peter_Costello
Q2578355,William Cox,Australian judge,https://honours.pmc.gov.au/honours/awards/882355,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,882355,1999-06-14T00:00:00Z,https://en.wikipedia.org/wiki/William_Cox_(governor)
Q2580765,William Thomas Cooper,Australian ornithological artist (1934-2015),https://honours.pmc.gov.au/honours/awards/870161,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,870161,1994-06-10T00:00:00Z,https://en.wikipedia.org/wiki/William_T._Cooper
Q2591448,Wolfgang Sievers,Australian photographer,https://honours.pmc.gov.au/honours/awards/1040438,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1040438,2002-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Wolfgang_Sievers
Q2601921,Ian Brooker,Australian botanist (1934-2016),https://honours.pmc.gov.au/honours/awards/1131354,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1131354,2006-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Ian_Brooker
Q2607573,Anne Boyd,Australian composer,https://honours.pmc.gov.au/honours/awards/881497,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,881497,1996-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Anne_Boyd
Q2636835,Alan Seymour,Australian playwright,https://honours.pmc.gov.au/honours/awards/1135114,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1135114,2007-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Seymour
Q2638527,Neville Thiele,Australian audio engineer,https://honours.pmc.gov.au/honours/awards/1044138,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1044138,2003-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Neville_Thiele
Q2644238,Alfred van der Poorten,Dutch-Australian mathematician,https://honours.pmc.gov.au/honours/awards/1056092,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,1056092,2004-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alfred_van_der_Poorten
Q2646347,David Hawker,Australian politician,https://honours.pmc.gov.au/honours/awards/1145757,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1145757,2012-06-11T00:00:00Z,https://en.wikipedia.org/wiki/David_Hawker
Q2653047,Tessa Birnie,Australian musician,https://honours.pmc.gov.au/honours/awards/869753,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,869753,1985-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Tessa_Birnie
Q2653652,Tom Slingsby,Australian sailor,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1149436,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Tom_Slingsby
Q4357255,Jack Lockett,Australian soldier,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,877013,2001-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Jack_Lockett
Q4387240,Lester Brain,Australian aviation pioneer,https://honours.pmc.gov.au/honours/awards/887750,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,887750,1979-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Lester_Brain
Q4460418,Warren Thomson,Australian musician,https://honours.pmc.gov.au/honours/awards/869930,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,869930,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Warren_Thomson
