wikipediaPageID,name,pageCreation
17542288,Ronald Eric Johnstone,2008-05-21
55504852,Roberta Shepherd,2017-10-11
61615882,Suzanne Chambers,2019-08-27
57722736,Shurlee Swain,2018-06-20
13609174,Catherine Branson,2007-10-07
25044275,Gillian Aldridge,2009-11-11
2889886,Andrew Murray Australian politician,2005-10-12
10257800,John Sharp Australian politician,2007-03-25
15929020,Noel Kelly rugby league,2008-02-24
61739689,Robin Creyke,2019-09-10
13021390,Geoffrey Burnstock,2007-08-30
44154854,Brian Owler,2014-10-19
12257662,Sever Sternhell,2007-07-15
57809537,Susan M Butler,2018-07-02
57664686,Terri Cater,2018-06-12
57660730,Susan Provan,2018-06-12
43835860,Erica Smyth,2014-09-16
57655202,San Thang,2018-06-11
14684276,Jeremy Fisher author,2007-12-13
27909796,Paul Broughton,2010-07-01
56925443,Keri CraigLee,2018-03-24
583502,Daryl Melham,2004-04-08
4793056,John Marshall swimmer,2006-04-18
30474385,Ann CarrBoyd,2011-01-14
5324941,John B Biggs,2006-05-28
3684813,Richard FrancisBruce,2006-01-11
33236108,Michael Ebeid,2011-09-28
61094187,Peter De Waal,2019-06-21
7332627,Anne Warner politician,2006-10-07
54209314,Kathryn Toohey,2017-06-03
11172111,M C Ricklefs,2007-05-11
17469235,Ian Robinson Australian politician,2008-05-17
3586676,John McLaren cricketer,2006-01-01
3326168,Joe Tripodi,2005-12-05
160126,Cate Blanchett,2002-12-21
22987953,Michael Crouch,2009-05-28
13092179,Ken Freeman astronomer,2007-09-04
4901174,Peter Gago,2006-04-26
11940289,John Gandel,2007-06-25
18628064,Alan Joyce executive,2008-07-29
52783681,Peter Klinken,2017-01-05
45348226,Julian McMahon barrister,2015-02-09
2755700,Jacques Nasser,2005-09-25
1520124,John Shine,2005-02-18
14933190,Robert Tickner,2007-12-29
35900874,Alex Zelinsky,2012-05-22
16976766,Kay Goldsworthy,2008-04-17
948343,Antony Green,2004-09-01
56140385,Helen Herrman,2017-12-26
30176277,James Hogan businessman,2010-12-24
13351429,Andrew Ford composer,2007-09-20
21232636,Ron Dyer,2009-01-24
11012067,George Henry Bennett,2007-05-02
28222676,Robert Spence bishop,2010-08-01
5425204,Darby McCarthy,2006-06-04
1193798,Amanda Keller,2004-11-21
60122905,Roger Noble,2019-03-03
12955969,Jared Tallent,2007-08-26
49205883,George Williamson Australian footballer,2016-01-24
43151455,Kerry Sanderson,2014-06-26
6242667,Glenn Stevens,2006-08-03
45088798,Jan Adams diplomat,2015-01-17
61363685,Fran Baum,2019-07-26
657584,John Bertrand sailor born 1946,2004-05-16
41374855,Carmel McLure,2013-12-15
63026925,Tony Beddison,2020-02-05
18137826,Hieu Van Le,2008-06-26
50889988,Peter Lloyd aviator,2016-06-21
13415756,Raymond Finkelstein,2007-09-24
64345459,Vivienne Thom,2020-06-22
6270727,Lynn Rainbow,2006-08-05
42782120,Tony Smibert,2014-05-17
9591539,George Souris,2007-02-19
50792448,Debbie Spillane,2016-06-13
50807874,Colin Raston,2016-06-14
9973616,Alan Stockdale,2007-03-10
62422985,John Wegner,2019-11-24
25383712,Nalini Joshi,2009-12-10
62430208,Kevin Donnelly,2019-11-25
41665585,Cheryl Edwardes,2014-01-17
37697552,Elizabeth Finkel,2012-11-20
2357005,Denis Evans,2005-08-01
187327,Kate Ceberano,2003-02-23
900386,Keith Payne,2004-08-14
3348706,Sue Smith politician,2005-12-07
6882950,Lex Lasry,2006-09-07
29406870,Elliot McAdam,2010-10-30
57448086,Karen Mahlab,2018-05-18
50071212,Bert Turner politician,2016-04-07
1399936,John Watkins Australian politician,2005-01-15
33342071,Stanton Welch,2011-10-08
28557742,Brett Chandler,2010-08-26
44852994,Rupert Myer,2014-12-27
16209431,Monica Oliphant,2008-03-10
44644159,Pip Pattison,2014-12-09
45444938,Finn Pratt,2015-02-19
4778749,John Douglas Story,2006-04-17
63632852,Deborah Terry,2020-04-12
13949797,Allan Luke,2007-10-28
46921272,Stephen Simpson professor,2015-06-08
30209368,Dick Smith entrepreneur,2004-05-31
11752844,Peter Coleman,2007-06-13
36369833,Peter ColemanWright,2012-07-09
36994079,Bulent Hass Dellal,2012-09-12
35678670,Lauren Jackson,2004-04-13
9646366,Julian Gardner lawyer,2007-02-22
34809457,Keith Vincent Garner,2012-02-20
18439264,Susie Elelman,2008-07-15
568797,Kay Hull,2004-04-01
27925921,Peter McMahon,2010-07-03
46929770,Ken Shadie,2015-06-09
9567731,Matt Burke rugby born 1964,2007-02-18
9804785,Chris Maxwell jurist,2007-03-02
39791286,David Jacka,2013-06-27
743319,Geoff Gardner,2004-06-22
7162736,John Sullivan Australian politician,2006-09-26
40661693,Nathan Efron,2013-09-29
26623579,Kym Anderson,2010-03-20
43558460,Judith Clements,2014-08-14
20707398,Patrick Keane,2008-12-15
33257942,John Trainer,2011-09-30
1993577,Denis Walter,2005-06-05
31949731,Tom Bathurst,2011-06-01
8786134,Les Carlyon,2007-01-06
27915506,Megan Clark,2010-07-02
43004608,Richard Gibbs biologist,2014-06-09
1971538,Barry Jones Australian politician,2005-06-01
43026845,Des Ball,2014-06-11
24254904,Deborah Cheetham,2009-09-07
53945987,Anne Penfold Street,2017-05-03
2425102,Steve Moneghetti,2005-08-11
15528133,Alexander Tzannes,2008-02-01
55476010,Minoti Apte,2017-10-08
9667488,Tony Benneworth,2007-02-23
40150933,Eleanor Witcombe,2013-08-04
3791309,Samina Yasmeen,2006-01-21
44727965,Greg Bilton,2014-12-15
3425465,Carl Vine,2005-12-15
17241747,Maureen Wheeler,2008-05-03
8834917,Tony Wheeler,2007-01-09
8834917,Tony Wheeler,2007-01-09
59571295,Patsy Wolfe,2019-01-04
42396632,Tim Barrett admiral,2014-04-04
58088328,Nadia Badawi,2018-08-07
1914119,Ziggy Switkowski,2005-05-20
720739,John So,2004-06-12
9238861,Graeme Koehne,2007-02-01
52719983,Barry Ninham,2016-12-29
44315171,Ingrid Scheffer,2014-11-06
854899,Michael Gawenda,2004-07-24
8527511,Bradley Trevor Greive,2006-12-20
2896174,Robert Hannaford,2005-10-13
18113601,Hetty Johnston,2008-06-24
21450470,Richard Colman,2009-02-08
42935154,Barbara Caine,2014-06-01
61581953,Caroline De Costa,2019-08-22
43962864,Philip Cummins,2014-09-27
2754180,Ernie Merrick,2005-09-25
20234159,Stan Collard,2008-11-16
2807922,Ray Warren,2005-10-01
70350,Marie Bashir,2002-08-11
7392737,Judy Masters,2006-10-11
18037363,Salvatore Zofrea,2008-06-20
22077111,Denise Roberts,2009-03-21
15877410,Denise Boyd,2008-02-21
47324395,Clement Smith Australian politician,2015-07-24
901644,Matt Welsh,2004-08-15
27029272,Albie Thomas,2010-04-20
907667,James Thompson VC,2004-08-17
47733343,Bill Turner footballer born 1912,2015-09-06
7044411,Dean Mildren,2006-09-18
1214699,Patrick Bugden,2004-11-27
22683788,Ron Haddrick,2009-05-04
31971264,Gus Gilmore,2011-06-03
22904883,James Crawford jurist,2009-05-22
1063665,Jill Ker Conway,2004-10-13
64261209,Chris Baggoley,2020-06-13
30305503,John Byrne judge,2011-01-04
646649,Ron Clarke,2004-05-10
2918156,Robert Dickerson,2005-10-16
566008,Jennie George,2004-03-31
566032,Petro Georgiou,2004-03-31
1471050,John Hopkins conductor,2005-02-06
37991829,Duncan Ironmonger,2012-12-21
