wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/Dennis_Lillee,894415,Dennis Lillee,2004-08-12,Q1189313,Dennis Lillee
https://en.wikipedia.org/wiki/Neil_MacGregor,1520354,Neil MacGregor,2005-02-18,Q1226759,Neil MacGregor
https://en.wikipedia.org/wiki/Ken_Wallace_(canoeist),7312808,Ken Wallace (canoeist),2006-10-06,Q81495,Ken Wallace
https://en.wikipedia.org/wiki/Mark_Webber,564161,Mark Webber,2004-03-30,Q82667,Mark Webber
https://en.wikipedia.org/wiki/Jacques_Cousteau,16252,Jacques Cousteau,2002-02-25,Q83233,Jacques Cousteau
https://en.wikipedia.org/wiki/Steve_Biddulph,3707163,Steve Biddulph,2006-01-13,Q83740,Steve Biddulph
https://en.wikipedia.org/wiki/Harry_Seidler,100850,Harry Seidler,2002-10-08,Q85669,Harry Seidler
https://en.wikipedia.org/wiki/Dymphna_Cusack,3761192,Dymphna Cusack,2006-01-18,Q101871,Dymphna Cusack
https://en.wikipedia.org/wiki/Rod_Laver,221421,Rod Laver,2003-05-04,Q105550,Rod Laver
https://en.wikipedia.org/wiki/Elke_Neidhardt,30635844,Elke Neidhardt,2011-01-26,Q110124,Elke Neidhardt
https://en.wikipedia.org/wiki/Charles_K._Bliss,2968366,Charles K. Bliss,2005-10-22,Q112877,Charles K. Bliss
https://en.wikipedia.org/wiki/Rolf_M._Zinkernagel,1702186,Rolf M. Zinkernagel,2005-04-06,Q116064,Rolf M. Zinkernagel
https://en.wikipedia.org/wiki/Lauren_Jackson,35678670,Lauren Jackson,2004-04-13,Q270653,Lauren Jackson
https://en.wikipedia.org/wiki/Anna_Meares,915432,Anna Meares,2004-08-20,Q270657,Anna Meares
https://en.wikipedia.org/wiki/Libby_Trickett,901542,Libby Trickett,2004-08-15,Q270663,Libby Trickett
https://en.wikipedia.org/wiki/Leisel_Jones,937355,Leisel Jones,2004-08-28,Q270686,Leisel Jones
https://en.wikipedia.org/wiki/Karrie_Webb,1036386,Karrie Webb,2004-10-03,Q271024,Karrie Webb
https://en.wikipedia.org/wiki/Melanie_Schlanger,18723773,Melanie Schlanger,2008-08-05,Q271211,Melanie Schlanger
https://en.wikipedia.org/wiki/Felicity_Galvez,16925632,Felicity Galvez,2008-04-14,Q271208,Felicity Galvez
https://en.wikipedia.org/wiki/Alisa_Camplin,2912485,Alisa Camplin,2005-10-15,Q271586,Alisa Camplin
https://en.wikipedia.org/wiki/Rachel_Ward,381613,Rachel Ward,2003-11-28,Q271948,Rachel Ward
https://en.wikipedia.org/wiki/Judy_Tegart-Dalton,5782642,Judy Tegart-Dalton,2006-07-01,Q272065,Judy Tegart
https://en.wikipedia.org/wiki/Rechelle_Hawkes,2171696,Rechelle Hawkes,2005-07-05,Q272139,Rechelle Hawkes
https://en.wikipedia.org/wiki/Brooke_Hanson,1085975,Brooke Hanson,2004-10-20,Q272215,Brooke Hanson
https://en.wikipedia.org/wiki/Sara_Carrigan,1875584,Sara Carrigan,2005-05-12,Q272488,Sara Carrigan
https://en.wikipedia.org/wiki/Elena_Kats-Chernin,277690,Elena Kats-Chernin,2003-07-26,Q273213,Elena Kats-Chernin
https://en.wikipedia.org/wiki/John_Eccles_(neurophysiologist),16426,John Eccles (neurophysiologist),2001-12-07,Q273223,John Eccles
https://en.wikipedia.org/wiki/Clifford_Possum_Tjapaltjarri,2292559,Clifford Possum Tjapaltjarri,2005-07-23,Q440221,Clifford Possum Tjapaltjarri
https://en.wikipedia.org/wiki/Kerry_Saxby-Junna,5563731,Kerry Saxby-Junna,2006-06-14,Q442173,Kerry Saxby-Junna
https://en.wikipedia.org/wiki/Kerri_Pottharst,2466677,Kerri Pottharst,2005-08-16,Q442605,Kerri Pottharst
https://en.wikipedia.org/wiki/Michellie_Jones,1752054,Michellie Jones,2005-04-17,Q443359,Michellie Jones
https://en.wikipedia.org/wiki/Marlene_Mathews,3656162,Marlene Mathews,2006-01-08,Q443491,Marlene Mathews
https://en.wikipedia.org/wiki/Linda_Mackenzie,17224352,Linda Mackenzie,2008-05-02,Q444902,Linda Mackenzie
https://en.wikipedia.org/wiki/Chantelle_Newbery,3021506,Chantelle Newbery,2005-10-28,Q445278,Chantelle Newbery
https://en.wikipedia.org/wiki/George_Miller_(filmmaker),152157,George Miller (filmmaker),2002-11-27,Q446960,George Miller
https://en.wikipedia.org/wiki/Giaan_Rooney,921917,Giaan Rooney,2004-08-23,Q447501,Giaan Rooney
https://en.wikipedia.org/wiki/Tony_O'Reilly,202018,Tony O'Reilly,2003-03-27,Q448441,Tony O'Reilly
https://en.wikipedia.org/wiki/Googie_Withers,1075153,Googie Withers,2004-10-17,Q449070,Googie Withers
https://en.wikipedia.org/wiki/Michael_Hayden_(general),5088447,Michael Hayden (general),2004-02-18,Q449604,Michael Hayden
https://en.wikipedia.org/wiki/J._J._C._Smart,440324,J. J. C. Smart,2004-01-24,Q600759,J. J. C. Smart
https://en.wikipedia.org/wiki/Slim_Dusty,321623,Slim Dusty,2003-09-19,Q607807,Slim Dusty
https://en.wikipedia.org/wiki/Kirstie_Marshall,2436481,Kirstie Marshall,2005-08-12,Q612417,Kirstie Marshall
https://en.wikipedia.org/wiki/John_R._Allen,20957855,John R. Allen,2009-01-05,Q615356,John R. Allen
https://en.wikipedia.org/wiki/Siobhan_Paton,18272157,Siobhan Paton,2008-07-03,Q622165,Siobhan Paton
https://en.wikipedia.org/wiki/Richard_Armitage_(government_official),19125582,Richard Armitage (government official),2003-12-08,Q623395,Richard Armitage
https://en.wikipedia.org/wiki/Robyn_Maher,18530677,Robyn Maher,2008-07-21,Q633882,Robyn Maher
https://en.wikipedia.org/wiki/Archie_Roach,1750596,Archie Roach,2005-04-16,Q633977,Archie Roach
https://en.wikipedia.org/wiki/Malcolm_Williamson,191939,Malcolm Williamson,2003-03-05,Q644392,Malcolm Williamson
https://en.wikipedia.org/wiki/Frans_Seda,25653004,Frans Seda,2010-01-02,Q981547,Frans Seda
https://en.wikipedia.org/wiki/Peter_Underwood,4637215,Peter Underwood,2006-04-05,Q982736,Peter Underwood
https://en.wikipedia.org/wiki/Guy_Sebastian,383626,Guy Sebastian,2003-11-30,Q983452,Guy Sebastian
https://en.wikipedia.org/wiki/Michael_Grenda,12558988,Michael Grenda,2007-08-01,Q984387,Michael Grenda
https://en.wikipedia.org/wiki/Bruce_William_Stillman,33560980,Bruce William Stillman,2011-10-28,Q991815,Bruce William Stillman
https://en.wikipedia.org/wiki/Abdul_Taib_Mahmud,8703527,Abdul Taib Mahmud,2005-08-26,Q1015710,Abdul Taib Mahmud
https://en.wikipedia.org/wiki/Eva_Burrows,2440849,Eva Burrows,2005-08-12,Q1022204,Eva Burrows
https://en.wikipedia.org/wiki/Ken_Done,1788606,Ken Done,2005-04-24,Q1059351,Ken Done
https://en.wikipedia.org/wiki/Charles_Perkins_(Aboriginal_activist),1698688,Charles Perkins (Aboriginal activist),2005-04-06,Q1065753,Charles Perkins
https://en.wikipedia.org/wiki/Mem_Fox,4420480,Mem Fox,2006-03-17,Q122736,Mem Fox
https://en.wikipedia.org/wiki/Alexandre_Hay,17879338,Alexandre Hay,2008-06-10,Q124232,Alexandre Hay
https://en.wikipedia.org/wiki/Graeme_Clark_(doctor),2912259,Graeme Clark (doctor),2005-10-15,Q125204,Graeme Clark
https://en.wikipedia.org/wiki/John_Devitt,4899114,John Devitt,2006-04-26,Q127672,John Devitt
https://en.wikipedia.org/wiki/Bryce_Courtenay,525815,Bryce Courtenay,2004-03-14,Q128837,Bryce Courtenay
https://en.wikipedia.org/wiki/Patrick_White,23932,Patrick White,2001-09-12,Q129187,Patrick White
https://en.wikipedia.org/wiki/Murray_Stewart,36672861,Murray Stewart,2012-08-09,Q129241,Murray Stewart
https://en.wikipedia.org/wiki/Hugh_Jackman,302695,Hugh Jackman,2003-08-23,Q129591,Hugh Jackman
