wikipediaURL,fullName
https://en.wikipedia.org/wiki/Perry_Bartlett,Perry Bartlett
https://en.wikipedia.org/wiki/Glenn_Bourke,Glenn Bourke
https://en.wikipedia.org/wiki/Michael_Clarke_(cricketer),Michael Clarke (cricketer)
https://en.wikipedia.org/wiki/Tashi_Tsering_(Chenrezig_Institute),Tashi Tsering (Chenrezig Institute)
https://en.wikipedia.org/wiki/Cathy_Foley,Cathy Foley
https://en.wikipedia.org/wiki/Caroline_McMillen,Caroline McMillen
https://en.wikipedia.org/wiki/Tamara_Davis,Tamara Davis
https://en.wikipedia.org/wiki/Simon_Stuart,Simon Stuart
https://en.wikipedia.org/wiki/Jonathan_Mead,Jonathan Mead
https://en.wikipedia.org/wiki/Kate_Lamont,Kate Lamont
https://en.wikipedia.org/wiki/Rhondda_Jones,Rhondda Jones
https://en.wikipedia.org/wiki/Simon_Gipson,Simon Gipson
https://en.wikipedia.org/wiki/Aaron_Kearney,Aaron Kearney
https://en.wikipedia.org/wiki/Susan_Kenny,Susan Kenny
https://en.wikipedia.org/wiki/Sean_Dorney,Sean Dorney
https://en.wikipedia.org/wiki/Jan_Sardi,Jan Sardi
https://en.wikipedia.org/wiki/Bruce_Chapman_(Australian_economist),Bruce Chapman (Australian economist)
https://en.wikipedia.org/wiki/Liz_Constable,Liz Constable
https://en.wikipedia.org/wiki/Martin_Tenni,Martin Tenni
https://en.wikipedia.org/wiki/Alan_Eggleston,Alan Eggleston
https://en.wikipedia.org/wiki/Judyth_Watson,Judyth Watson
https://en.wikipedia.org/wiki/Alison_Harcourt,Alison Harcourt
https://en.wikipedia.org/wiki/Marita_Cheng,Marita Cheng
https://en.wikipedia.org/wiki/Maree_Smith,Maree Smith
https://en.wikipedia.org/wiki/Michelle_Simmons,Michelle Simmons
https://en.wikipedia.org/wiki/Frances_Separovic,Frances Separovic
https://en.wikipedia.org/wiki/Linda_Richards_(neuroscientist),Linda Richards (neuroscientist)
https://en.wikipedia.org/wiki/Leo_Radom,Leo Radom
https://en.wikipedia.org/wiki/Luc_Longley,Luc Longley
https://en.wikipedia.org/wiki/Kate_Palmer,Kate Palmer
https://en.wikipedia.org/wiki/Adrian_David_Cheok,Adrian David Cheok
https://en.wikipedia.org/wiki/Michael_Davis_(Australian_lawyer),Michael Davis (Australian lawyer)
https://en.wikipedia.org/wiki/Martin_Bowles,Martin Bowles
https://en.wikipedia.org/wiki/Derek_Byerlee,Derek Byerlee
https://en.wikipedia.org/wiki/Brenda_Wilson,Brenda Wilson
https://en.wikipedia.org/wiki/Lex_Doyle,Lex Doyle
https://en.wikipedia.org/wiki/Monika_Schmidt,Monika Schmidt
https://en.wikipedia.org/wiki/Annabelle_Bennett,Annabelle Bennett
https://en.wikipedia.org/wiki/Reginald_Barrett,Reginald Barrett
https://en.wikipedia.org/wiki/Debra_Mullins,Debra Mullins
https://en.wikipedia.org/wiki/John_Finnis,John Finnis
https://en.wikipedia.org/wiki/Ruth_Bishop,Ruth Bishop
https://en.wikipedia.org/wiki/Andrew_Biankin,Andrew Biankin
https://en.wikipedia.org/wiki/Alan_Cowman,Alan Cowman
https://en.wikipedia.org/wiki/David_Burke_(neurophysiologist),David Burke (neurophysiologist)
https://en.wikipedia.org/wiki/Jayashri_Kulkarni,Jayashri Kulkarni
https://en.wikipedia.org/wiki/Ruth_McNair,Ruth McNair
https://en.wikipedia.org/wiki/Rachael_Kohn,Rachael Kohn
https://en.wikipedia.org/wiki/Leigh_Sales,Leigh Sales
https://en.wikipedia.org/wiki/Debra_Jackson_(nurse),Debra Jackson (nurse)
https://en.wikipedia.org/wiki/Dave_Nilsson,Dave Nilsson
https://en.wikipedia.org/wiki/Frank_Sedgman,Frank Sedgman
https://en.wikipedia.org/wiki/Jan_Cameron_(coach),Jan Cameron (coach)
https://en.wikipedia.org/wiki/Don_Tregonning,Don Tregonning
