"","id","label","url","description","matchText","PossibleAlias","wikiDataMatch"
"47","Q84611264","Peter Conrad","//www.wikidata.org/wiki/Q84611264","b. 9/21/1745; d. 8/17/1816; Dr. theol","Peter Conrad",NA,"Y"
"48","Q125208","Peter Conradin Planta","//www.wikidata.org/wiki/Q125208","Swiss judge, journalist and politician (1815-1902)","Peter Conradin Planta",NA,"Y"
"49","Q7173368","Peter Conradi","//www.wikidata.org/wiki/Q7173368","British author and journalist","Peter Conradi",NA,"Y"
"50","Q2074395","Peter Conradi","//www.wikidata.org/wiki/Q2074395","German politician","Peter Conradi",NA,"Y"
"51","Q76116650","Peter Conrad Hamilton Vey","//www.wikidata.org/wiki/Q76116650","Peerage person ID=542371","Peter Conrad Hamilton Vey",NA,"Y"
"52","Q96095005","Robert John Bartlett","//www.wikidata.org/wiki/Q96095005",NA,"Robert John Bartlett",NA,"Y"
"53","Q5231286","David Bell","//www.wikidata.org/wiki/Q5231286","Vice-Chancellor of the University of Reading","David Robert Bell","David Robert Bell","Y"
"54","Q6262060","John Vogels","//www.wikidata.org/wiki/Q6262060","Australian politician","John Adrian Vogels","John Adrian Vogels","Y"
"55","Q1526104","Kenneth Rayner","//www.wikidata.org/wiki/Q1526104","American politician","Kenneth Rayner",NA,"Y"
"56","Q57944494","Graham McDowell","//www.wikidata.org/wiki/Q57944494","researcher, ORCID id # 0000-0003-2302-2598","Graham McDowell",NA,"Y"
"57","Q964427","Graeme McDowell","//www.wikidata.org/wiki/Q964427","professional golfer","Graham McDowell","Graham McDowell","Y"
"58","Q5257422","Denis Napthine","//www.wikidata.org/wiki/Q5257422","47th Premier of Victoria","Denis Vincent Napthine","Denis Vincent Napthine","Y"
"59","Q89503368","Dimitrios Alexopoulos","//www.wikidata.org/wiki/Q89503368","researcher","Dimitrios Alexopoulos",NA,"Y"
"60","Q3379071","Philip Ruddock","//www.wikidata.org/wiki/Q3379071","Australian politician","Philip Maxwell Ruddock","Philip Maxwell Ruddock","Y"
"61","Q4706609","Alan Ferguson","//www.wikidata.org/wiki/Q4706609","Australian politician","Alan Baird Ferguson","Alan Baird Ferguson","Y"
"62","Q4974135","Bronwyn Bishop","//www.wikidata.org/wiki/Q4974135","Australian politician and former Speaker of the House","Bronwyn Kathleen Bishop","Bronwyn Kathleen Bishop","Y"
"63","Q7823688","Tony Windsor","//www.wikidata.org/wiki/Q7823688","Australian politician","Antony Harold Curties Windsor","Antony Harold Curties Windsor","Y"
"64","Q6845925","Mike Baird","//www.wikidata.org/wiki/Q6845925","New South Wales politician and premier","Michael Bruce Baird","Michael Bruce Baird","Y"
