name,wdID
John McLaren,Q16037824
Joe Tripodi,Q6212724
Cate Blanchett ,Q80966
Michael Crouch,Q16093647
Ken Freeman,Q6387641
Peter Gago ,Q7174156
John Gandel,Q6234806
Alan Joyce,Q4707007
Peter Klinken,Q28132587
Julian McMahon,Q19667062
Jacques Nasser,Q1678053
John Shine,Q12404787
Robert Tickner,Q7350396
Katherine Woodthorpe ,Q70026805
Alex Zelinsky,Q4718044
Linda Kristjanson,Q56750647
Angel Lopez,Q67064620
Geoff Fincher ,Q19636948
Andrew Gleadow,Q57905615
Kay Goldsworthy,Q523318
Antony Green ,Q4777207
Helen Herrman,Q46956609
James Hogan,Q6136145
Caroline Homer,Q37843077
Ian Hume,Q67499053
Mo'onia Gerrard,Q6886099
Andrew Ford,Q4756977
Ron Dyer,Q7363723
George Henry Bennett,Q5540423
Harold Trevor Clifford ,Q5892430
Robert Spence ,Q12069792
Darby McCarthy,Q5222273
Amanda Keller ,Q4739661
Roger Noble,Q61951606
Jared Tallent,Q1728
George Williamson ,Q23621684
Kerry Sanderson,Q17402900
Glenn Stevens ,Q1813984
Jan Elizabeth Adams ,Q22002995
Fran Baum ,Q67231057
John Bertrand,Q1699327
Andrew Cuthbertson ,Q95606804
Carmel McLure,Q16889134
Tony Beddison,Q84390859
Hieu Van Le ,Q5753361
Peter Lloyd,Q24706194
Raymond Finkelstein,Q7298776
Suzanne Y. O'Reilly,Q17517283
Vivienne Thom ,Q96575176
Lynn Rainbow ,Q6709179
Tony Smibert ,Q17198723
George Souris ,Q5544706
Debbie Spillane,Q24570058
Colin Raston,Q24851642
Alan Stockdale ,Q4707846
John Wegner,Q53095622
Nalini Joshi,Q6960912
Kevin Donnelly,Q76464990
Cheryl Edwardes ,Q16145052
Elizabeth Finkel,Q5362772
Denis Evans,Q5257225
Kate Ceberano ,Q6375418
Keith Payne,Q6384877
Sue Smith,Q16150449
Hugh Smith,Q56254903
Lex Lasry ,Q6537565
Elliot McAdam ,Q5365527
Karen Mahlab ,Q53870690
Bert Turner,Q23765973
John Watkins ,Q16186946
Stanton Welch,Q7600284
Brett Chandler,Q4962110
Rupert Myer ,Q19655099
Monica Oliphant,Q6900035
Pip Pattison,Q18640515
Finn Pratt,Q19668248
Karen Simmer,Q67361284
John Douglas Story,Q6229923
Deborah Terry ,Q77481287
Allan Luke ,Q4730794
Stephen Simpson,Q21062170
Dick Smith,Q5273384
Lesley Chenoweth,Q96745865
Peter Coleman ,Q7173326
Peter Coleman-Wright ,Q7173328
Bulent Hass Dellal ,Q4996116
Lauren Jackson,Q270653
Christopher Legoe,Q57572368
Julian Gardner ,Q6307168
Keith Vincent Garner,Q6385160
Susie Elelman ,Q7649021
Kay Hull,Q6380209
Peter McMahon,Q7175814
Ken Shadie,Q3195086
Matthew Burke,Q3299684
Chris Maxwell ,Q5107377
David Jacka,Q16199641
Geoff Gardner ,Q5534869
John Sullivan,Q6259610
Nathan Efron,Q15429385
Kym Anderson ,Q1795098
Judith Clements ,Q17523861
Patrick Keane ,Q7146911
John Trainer,Q6261131
Denis Walter ,Q16186941
Tom Bathurst ,Q7814902
Les Carlyon ,Q6529306
Megan Clark ,Q6808636
Richard Gibbs,Q17180615
Barry Jones ,Q4864363
Des Ball ,Q17198050
Deborah Cheetham,Q5248203
Anne Penfold Street,Q29650258
Tania Sorrell ,Q37839159
Steve Moneghetti,Q976074
Alec Tzannes ,Q4720269
Minoti Apte,Q43900835
Tony Benneworth,Q7821887
Eleanor Witcombe,Q16089804
Samina Yasmeen,Q7409464
Greg Bilton,Q18639131
Carl Vine ,Q2269290
Maureen Wheeler ,Q6792768
Tony Wheeler,Q3993327
Tony Wheeler,Q3993327
Patsy Wolfe,Q44880023
Tim Barrett,Q16152090
Nadia Badawi,Q56043551
Tim Bonyhady,Q15430263
Ziggy Switkowski,Q8071785
John So,Q926168
Graeme Koehne,Q1541323
Sandra Levy,Q49909218
Barry Ninham,Q28076272
Ingrid Scheffer,Q18687923
Michael Gawenda,Q6830549
Bradley Trevor Greive,Q4148979
Robert Hannaford ,Q7345235
Hetty Johnston,Q15453153
Richard Colman,Q7324845
Barbara Caine,Q20676173
Caroline De Costa,Q66685240
Philip Cummins,Q18388162
Peter McKay,Q56813024
Ernest Merrick,Q5394642
Stan Collard ,Q7597591
Leon Tuckwell,Q61961907
Ray Warren,Q7298253
Marie Bashir ,Q1897276
James Masters,Q6139055
Salvatore Zofrea,Q7406699
Denise Roberts ,Q5257751
Denise Boyd,Q5257628
Clement Smith,Q21069652
Matt Welsh,Q1373529
Albert Thomas,Q4711319
James Thompson,Q6144183
Bill Turner,Q21070023
Dean Mildren,Q5246360
Patrick Bugden,Q7146168
Ron Haddrick,Q2892345
Gus Gilmore,Q5620669
James Crawford ,Q1680223
Jill Ker Conway,Q1395966
Christopher Baggoley,Q67231374
John Byrne,Q6224229
Ron Clarke ,Q549365
Robert Dickerson ,Q7343530
Jennie George,Q6177982
Petro Georgiou ,Q7178866
John Hopkins,Q6239824
Duncan Ironmonger,Q5314395
Timothy Kain,Q11318970
Robert Lunn,Q56034928
Ronnie Burns,Q7365821
William Delafield Cook,Q8007738
Cadel Evans ,Q190919
Andrew Lloyd,Q4757779
John Lynch ,Q18385372
Margaret Hunter ,Q62112303
Don Wing,Q5293743
Richard Woldendorp,Q7330060
David Wotton ,Q5241299
Alice Spigelman ,Q59622064
Peter Steele,Q18645861
Haddon Storey,Q17402525
Reginald Arnold,Q204263
David Llewellyn,Q5236684
Heather Jeannie Herbert,Q61864552
Tony Hyams,Q7822617
Janet Powell ,Q6153558
James Muecke,Q83615892
Wayne Harrison ,Q7976307
Elisabeth Kirkby ,Q5361491
Victor Kovalenko,Q20203069
Ann Mitchell,Q16769613
Alice MacLennan,Q59229700
John Hardy,Q18719463
Ernie Bridge ,Q5394375
Heather Butler,Q5693771
Phillip Toyne ,Q20114368
Peter Jones ,Q7175028
Joseph Paul Forgas,Q11274865
Alex George,Q2702267
David Headley Green,Q21165814
Edward David Edwards,Q22113707
Gareth Evans ,Q381902
Ian Frazer ,Q930011
Robert Hill ,Q773848
Stephen Hopper ,Q2082700
Joan Kirner,Q3179594
Wayne Martin,Q7976444
Peter Singer,Q211539
Ian Brusasco,Q5981044
Harry Butler,Q5667653
Liz Jones,Q65556614
Piers Lane,Q4271262
Simon McKeon ,Q7519329
Doug Jones,Q16142774
Graeme Hugo,Q18925194
John Herron ,Q6239095
Peter Carey,Q313254
Mary Crooks,Q74618383
Amanda Thane,Q16019585
Sarah A Best ,Q52727394
Deb Butterworth ,Q82654413
Maree Gleeson,Q69632139
Bruce A. Fuhrer,Q4977034
Arthur Cantrill,Q27450856
Corinne Cantrill,Q27450844
Leslie D Field,Q59576600
Lisa Jackson Pulver ,Q38545728
Susan Kiefel ,Q7648065
John Anderson,Q3180912
Marie Coleman,Q47074364
Brian Martin ,Q4965183
John F. Burrows ,Q82334266
Nick Warner ,Q7028110
George Williams ,Q5546376
Ralph Willis,Q7288278
Ben Swane,Q83499459
Kerryn Phelps,Q6394699
Richard Charles Larter,Q43133077
John Carmichael ,Q6225212
Steve Smith ,Q7613974
Adam Gilchrist ,Q349516
James Halliday,Q15490378
Dianne Hiles ,Q16728548
Michael Hodgman ,Q6831178
Roderick Weir Home,Q7356694
Martin Copley ,Q6775193
Linda Dessau ,Q6551523
Greig Pickhaver,Q5607286
Barbara Pocock,Q63405944
Andrew Sayers,Q21097029
Hossein Valamanesh ,Q15440269
Yiu-Wing Mai,Q21166891
John Mawurndjul,Q6247250
George Palmer,Q5543177
Raymond Todd,Q16886148
Thusnelda Williams,Q85434646
Anne Jones ,Q4768481
Lewis Morley,Q3237300
Tony Miller,Q7822983
Patrick McGorry ,Q7147153
Gordon Parker,Q5585645
Michael Rozenes ,Q6834011
Tony Rundle,Q2442810
Vicki Sara,Q38263243
John von Doussa ,Q6265936
Mark Binskin ,Q6766742
Robert Bell ,Q58416759
Valerie Beral ,Q4793379
Steve Bracks,Q3498865
Harold Mitchell,Q16106014
Michael McRobbie,Q6832771
James Angus,Q28094330
John-Michael Howson,Q6217351
Cliff Green,Q2979051
John Green,Q6236145
Alison McCusker,Q45739587
Ian Leslie,Q5982038
Alan Cadman,Q4706304
Neil Betts,Q28733608
Hugh Edwards,Q11330275
Helen Cutler,Q55957518
Richard Schodde ,Q534418
T. J. Ryan ,Q1396927
Garry Connelly,Q42309283
Jack Bendat,Q16730097
Tate Adams,Q7687944
John Hartley ,Q6238065
Clive Hamilton,Q1101957
David Hamill,Q5234670
Arie Freiberg ,Q4790332
Geoffrey Eames ,Q11699610
Kurt Lambeck,Q6446842
Bruce Edward Hobbs,Q4977431
Robert M Graham ,Q64684938
Irene Gleeson ,Q6069028
Peter Underwood,Q982736
Mary E. White ,Q21598045
John Mansfield ,Q6246647
Russell D. Lansbury,Q66725467
Pam Kilborn,Q437288
John McGrath,Q16105163
John Messara,Q17037422
Karen L. Wilson ,Q5958129
Margaret Christensen,Q6759270
Bruce Clarke,Q15501700
John Anderson ,Q3296918
Giovanni Antonaglia,Q5563667
David Boyd,Q3017553
Dorothy Hoddinott,Q69627064
John Ralston,Q16029239
Arthur Sinodinos,Q4800293
Jim Bishop ,Q96265046
John Bathersby,Q1699120
Peter Baume ,Q7172714
David Bennett ,Q5231308
Geoff Gallop ,Q3046134
Reg Grundy ,Q2137228
John Howard,Q51330
Rob Atkinson,Q16113938
Elizabeth J. Elliott ,Q61783587
Es Downey,Q18353965
Charles Birch ,Q454195
Dorothy Buckland-Fuller ,Q61060144
Mollie Campbell-Smith ,Q55440652
Paul Clitheroe,Q7149875
Peter Corrigan,Q7173396
Albert Dadon ,Q4710001
Rayne de Gruchy,Q47037569
Tania de Jong ,Q4994279
James Kemsley,Q6137209
Richard Lane ,Q2150058
Tracy Caulkins,Q238782
Peter Wilkinson,Q7177714
Betty Fisher,Q62156103
Max Graham,Q19873876
John Armitage ,Q6219377
James Purcell ,Q19519703
Jack Newton,Q20640925
Wolfgang Sievers,Q2591448
Anne Phelan ,Q4768717
Henk Vogels,Q1035313
Alan Seymour,Q2636835
Jim Stynes,Q2693545
Charmaine Solomon ,Q5086424
Perry Crosswhite,Q3900084
Raelene Boyle,Q268123
Bob Brown ,Q4931941
Barry Cohen,Q4864101
Bruce Stone,Q27493454
Jennifer Strauss,Q15460933
Naida Haxton,Q38648876
Naguib Kanawati,Q3335124
Dennis Trewin ,Q5259016
Geoffrey Tregear,Q67461080
Alex Chernov,Q259774
Ashley Cooper,Q712208
Anne Kelso,Q47502196
Iain McCalman,Q5980536
Neil Mitchell,Q6989052
Mark Paterson,Q16199446
Jill Roe,Q28343975
Donald Malcolm Talbot ,Q5293593
Mark Evans ,Q6767549
Peter Leahy ,Q7175395
Victor Smorgon ,Q7926352
Ross Adler ,Q7369168
Peter Carnley ,Q7173183
Margaret McMurdo ,Q16186367
Anne Lynch ,Q28047779
Ron Evans,Q1696151
Bert Flugelman,Q1574668
David Headley Green,Q21165814
Bert Grof,Q4881758
Judith Wheeldon,Q69631432
John Yovich,Q6265252
Les Murray ,Q6529770
Peter Patmore ,Q7176310
Ralph Doubell,Q918290
Debora Picone,Q66364411
Steve Gilmore,Q5795306
John Coates,Q16135744
David de Kretser,Q1177366
Donald McDonald,Q5294830
Margaret Olley,Q3298751
Shane Stone ,Q2276874
Margaret Beazley ,Q6759174
Julie Campbell,Q27995816
Rosemary Follett,Q1396349
Michael Bryce ,Q6828901
Jim Clarko ,Q6194213
Greg Combet ,Q11701393
Keith De Lacy,Q16105316
Colleen McCullough,Q228801
Terry Moran,Q7704819
Olivia Newton-John,Q185165
Richard Searby ,Q16105205
Ian Braid ,Q16096878
David Brockhoff,Q3017574
Ash Power ,Q4804422
Joseph Aarons,Q20962507
Jack Absalom,Q6110939
Eric Charlton,Q5386261
Jack Denham ,Q6112084
Julie McDonald,Q1109903
Ernie Page,Q5394675
John H Page,Q50164000
Joan Rose Dwyer OAM,Q62168294
John Stirling Craig,Q93314816
Nanette Good,Q96939939
Jillian Segal,Q96141435
Richard Shine,Q7329022
Jane Singleton ,Q78959415
Jim Petrich ,Q6197479
Howard William Olney ,Q5920535
Sydney Benjamin Beale ,Q75323208
Sydney Benjamin Hartley,Q80777521
Rachel Ward,Q271948
Saxon White ,Q7428851
Michael Wilson,Q6835383
Terry Underwood ,Q28921850
Tetsuya Wakuda,Q7706963
Tracey Wickham,Q546225
Geoff Mack,Q5534215
Tom Tehan ,Q7817792
Bryan Brown,Q363659
Alan Bundy,Q93490823
David Irvine ,Q5235368
Graeme Jameson,Q21598168
Stanley Jones,Q58826810
Jane Mathews,Q42497555
Allan Moss ,Q4730873
Jocelyn Newman,Q6207164
Diana Laidlaw ,Q5271209
Bruce Lloyd,Q4977890
Robert Clancy ,Q7248186
Brian Davies,Q4963522
Stella Bywaters,Q55825496
Douglas Daft,Q5301401
Marilyn Warren,Q6763646
Charlie Bell ,Q321864
Freda Briggs,Q23747844
Samuel Berkovic,Q7410915
Peter Morris,Q671591
John Ryan ,Q20050739
John Douglas Morrison ,Q95605901
Margot Vowles ,Q71508160
Ross McLean,Q7369513
Nick Enright,Q3339739
George Gregan,Q1507452
John Sydney Haines,Q6259857
Clifford Harry Thompson ,Q17155856
Albert Mervyn Olsen,Q62598827
Margaret Ray,Q17386614
Wendy Rose,Q67003673
Harry Frederick Recher,Q5668930
Judi Connelli,Q6302799
Nancy Wake,Q234134
Adele Green,Q40673023
Leo Hielscher ,Q6523829
James Killen,Q6137315
Hugh Stretton,Q15462668
Raymond Apple,Q7298564
Joan Bielski,Q47037281
John Chapman,Q2659517
Helen Nugent ,Q5702915
Mahla Pearlman ,Q18002738
Margaret Reid,Q6759831
Cathy McGowan,Q16185462
Robert Hetherington,Q4932780
Iris Burgoyne,Q21997795
Raymond Agnew,Q61994646
Jane Edmanson,Q58032731
Hayley Lewis,Q274293
Jacqueline Mason,Q6120159
Steve Waugh ,Q735048
William Wright,Q21006566
Max Howell,Q16019710
Judith Mary Roberts,Q84166346
Bob Hammond,Q4932674
Basil Scarsella,Q4867255
Ron Radford,Q7364289
Tom Lewis ,Q7816580
Neville Thiele ,Q2638527
William Edward Norman Bennett,Q1292063
Norm O'Neill,Q3343706
Mary Sheehan,Q58413938
Norelle Lickiss,Q84165682
Jillian Broadbent ,Q16123989
Doug Anthony,Q1251694
Roderick Carnegie ,Q7356597
Richard Court,Q3305274
Michael Field ,Q6830287
Margaret Jackson,Q6759554
Primrose Potter,Q16091974
Bob Baxt,Q4931763
Robert Baxter ,Q2394355
Robert Brooking,Q16727677
Margaret Burgess,Q69049397
Geraldine Doogue,Q5549739
Thancoupie ,Q23806338
Andrea Hull,Q4755125
Ken Inglis ,Q6387850
Dean Jaensch ,Q5246242
Terry Jackman,Q16935033
Toni Lamond,Q7821292
John Mitchell,Q6248996
Paula Duncan ,Q9057059
Robert Champion de Crespigny,Q7342854
John Doyle ,Q6230056
Herb Elliott,Q472503
Kenneth Hayne ,Q6390196
Jeanne Pratt,Q88203631
Kay Hallahan ,Q6380197
George Szekeres,Q177504
George Szekeres Medal,Q5545011
Australian Mathematical Society ,Q781585
Ian Wilson ,Q5983284
Kevin Duggan,Q56034483
Mike Ahern,Q3313187
Ronald Drayton Brown,Q28076403
Peter Leahy ,Q7175395
Beryl Nashar,Q26702224
Clifford Possum Tjapaltjarri,Q440221
Patrick Moray Weller ,Q68268625
Mike Willesee ,Q6849275
Alan Coates,Q20084206
Rex Keily,Q61982462
Anne Hepburn ,Q27678467
Edgar Britt,Q5337142
Ray Hadley ,Q7297571
Nicholas Euclid,Q7025355
Pinchus Feldman ,Q7194945
Bruce Peake ,Q21095596
Gwyn Hanssen Pigott,Q5623774
Donald E. White,Q25659726
George Bornemissza,Q5537113
David Ashton,Q5230887
Ian Lowe,Q5982090
Dianne Yerbury,Q5271711
Elizabeth Anne Reid ,Q5362323
James Dunn,Q28016690
Judith Whitworth ,Q55462162
Paul Z Zimmet,Q63688819
Janine Haines,Q6154549
Hilary McPhee,Q5761026
Jackie Huggins,Q6116415
Jim Carlton,Q6194062
John Yu,Q9077601
John Mathwin,Q6247158
Dick Kimber,Q30086669
John A. Hamilton ,Q46648449
Jack Lockett,Q4357255
Michael Murphy,Q55086802
Mary Sawyer,Q17302233
Kevin Scarce ,Q1740252
John Treloar,Q3137457
Peter Thomson,Q1359387
Michael Morgan ,Q3305171
Doug Lowe,Q5300679
Sam Calder,Q7407281
Don Cameron ,Q5294885
Patrick Corrigan,Q16092601
Wayne Denis Hall,Q7976180
Paul Symon,Q7153896
Murray Rose,Q362362
Hugh David Sawrey,Q43136436
Sally Thomas ,Q7405314
Beryl Grant,Q41791927
Dick Scotton,Q7328940
Susan Serjeantson ,Q87469316
Geoffrey Wickham,Q5534973
James Roland Wood ,Q6142377
Paul de Jersey ,Q7154577
Robyn Archer ,Q7353572
David Bennett ,Q5231308
John Carter ,Q6225351
Reginald Joseph Marr ,Q20679481
John Maclean,Q16196573
Darryl Smith,Q5225454
David Smorgon,Q5239914
Bill Brown ,Q2667644
Dorothy Hilda Henderson ,Q87416643
John Winneke ,Q6264621
William Cox,Q2578355
Marcia Neave,Q6757130
Cheryl Praeger,Q1070533
George Paciullo,Q5543154
Evan Adermann,Q5415311
Michael Baume,Q6828506
Ian Porter,Q5982611
Geoff Henke,Q5534160
Joan Hall ,Q6205085
James Semple Kerr,Q18346486
James Harrison,Q2086893
Gracia Baylor,Q5591492
Guy Warren,Q5622665
Bud Tingwell ,Q734495
Michael Fitzgerald Page ,Q18635469
David Dicks ,Q1174223
Marlene Mathews ,Q443491
Neale Lavis ,Q6984227
Lionel Cox,Q569106
Ronald Crawford,Q7364767
Leneen Forde ,Q435025
Lorraine Crapp ,Q261681
Eric Gross ,Q5386622
Richard Cleaver,Q7324779
Wilma Oram,Q8022671
George Seddon,Q5544392
Ken Gillespie,Q6387677
Phillip E. Playford,Q32539655
Jim Barry,Q27983382
Elizabeth Burchill ,Q14954676
Yvonne Cossart ,Q89444380
Rex Stevenson,Q18207776
A. W. Martin ,Q62102518
Don Aitkin,Q5292141
Weston Bate ,Q7989400
Marilyn McMeniman,Q90079196
Geoff Wilson,Q5534384
Sydney Levine,Q90975781
Richard Smallwood,Q96250896
Andrew Peacock ,Q374949
Wal Murray ,Q7961245
Patrick Quilty ,Q22253117
Sophie Charlotte Ducker,Q21510988
Sid Atkinson,Q722838
Morris West,Q471021
Joy Roggenkamp,Q90082299
Nan Giese,Q90087689
Peter Andry,Q7172534
Glenn Murcutt ,Q333509
Roger McNeice,Q20716208
Mavis Thorpe Clark ,Q24284530
Helen Zerefos,Q5703439
Ken Wyatt,Q3195101
Ron Tucker ,Q7364488
John Cohen,Q17514401
Clifton Hoeben ,Q5133249
John Geoffrey Tracey,Q19060983
Edgar Frederick Riek,Q5817691
John Zillman,Q6265327
Percy Allan,Q7167221
John Kerr ,Q1700021
Michael Doohan,Q436025
Annette Knight,Q52656451
Margaret Court ,Q202342
Patricia Kailis,Q16095274
Michael Jeffery,Q355053
Jocelynne Scutt ,Q6207203
George Miller,Q446960
Fiona Stanley,Q1653736
Robert George Gregory,Q41800625
Robyn Rowland,Q28464364
Elizabeth Evatt ,Q5362737
Denise Bradley,Q5257684
David Flint ,Q5233697
Frank Brennan ,Q5478115
Diana Horvath ,Q96274212
Anthony William Linnane,Q21165256
Michael V. Drake,Q6835037
Nick Dondas,Q15485299
Jeanette Adelaide Covacevich,Q21394204
James Hamlyn Willis,Q6135471
John Grey,Q6236320
Ivon Wardle,Q20273952
Don Livingstone,Q5293011
Eva Cox ,Q5415028
Wenten Rubuntja,Q1718537
Frances Margaret McGuire,Q78164427
Celia Rosser,Q5058019
Frank McNamara ,Q531573
Jacqueline Hick,Q20859510
Ian Pearce,Q1655617
Neal Blewett,Q6984063
Kyrra Grunnsund,Q6452570
Mike Kelly,Q3857414
Ken Reinhard,Q20981226
James Burrows Thomas,Q6130555
Richard McGarvie,Q2150186
Peter Graham ,Q7174332
Peter Wilenski,Q16013339
Patricia M. Mawson,Q22109998
Colin Bond,Q5144898
Ronald Strahan,Q61465784
Spencer Grace,Q18392357
Donald McCoy Fraser,Q63213576
Kevin McKinley,Q57081577
Pauline Neura Reilly,Q7155064
Frank Gardner,Q172539
Babette Stephens,Q4837817
